lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,44,1:46.407,106.407,
1,2,77,1:48.391,108.391,1.984
1,3,16,1:50.061,110.061,3.654
1,4,5,1:50.733,110.733,4.326
1,5,33,1:52.744,112.744,6.337
1,6,10,1:54.122,114.122,7.715
1,7,3,1:56.770,116.77,10.363
1,8,11,1:57.998,117.998,11.591
1,9,27,1:59.160,119.16,12.753
1,10,8,1:59.725,119.725,13.318
1,11,20,2:00.389,120.389,13.982
1,12,7,2:01.546,121.546,15.139
1,13,18,2:02.994,122.994,16.587
1,14,99,2:04.095,124.095,17.688
1,15,63,2:04.734,124.734,18.327
1,16,88,2:05.409,125.409,19.002
1,17,26,2:06.639,126.639,20.232
1,18,23,2:08.468,128.468,22.061
1,19,55,2:11.900,131.9,PIT
1,20,4,2:18.254,138.254,PIT
2,1,44,1:48.693,108.693,
2,2,77,1:47.756,107.756,1.047
2,3,16,1:47.918,107.918,2.879
2,4,5,1:47.915,107.915,3.548
2,5,33,1:47.324,107.324,4.968
2,6,10,1:47.409,107.409,6.431
2,7,3,1:47.265,107.265,8.935
2,8,11,1:47.379,107.379,10.277
2,9,27,1:46.640,106.64,10.700
2,10,8,1:46.810,106.81,11.435
2,11,20,1:46.985,106.985,12.274
2,12,7,1:46.190,106.19,12.636
2,13,18,1:45.359,105.359,13.253
2,14,99,1:44.793,104.793,13.788
2,15,63,1:45.543,105.543,15.177
2,16,26,1:44.240,104.24,15.779
2,17,88,1:46.228,106.228,16.537
2,18,23,1:43.535,103.535,16.903
2,19,55,2:21.056,141.056,57.856
2,20,4,2:26.586,146.586,69.740
3,1,44,1:38.119,98.119,
3,2,77,1:38.543,98.543,1.471
3,3,16,1:38.637,98.637,3.397
3,4,5,1:38.643,98.643,4.072
3,5,33,1:39.203,99.203,6.052
3,6,10,1:39.821,99.821,8.133
3,7,3,1:40.475,100.475,11.291
3,8,11,1:40.612,100.612,12.770
3,9,27,1:40.935,100.935,13.516
3,10,8,1:41.198,101.198,14.514
3,11,7,1:40.931,100.931,15.448
3,12,20,1:42.041,102.041,16.196
3,13,18,1:41.604,101.604,16.738
3,14,99,1:42.096,102.096,17.765
3,15,26,1:40.910,100.91,18.570
3,16,63,1:42.357,102.357,19.415
3,17,23,1:41.082,101.082,19.866
3,18,88,1:43.334,103.334,21.752
3,19,55,1:39.731,99.731,59.468
3,20,4,1:39.921,99.921,71.542
4,1,44,1:38.522,98.522,
4,2,77,1:38.638,98.638,1.587
4,3,16,1:38.849,98.849,3.724
4,4,5,1:38.892,98.892,4.442
4,5,33,1:39.075,99.075,6.605
4,6,10,1:39.988,99.988,9.599
4,7,3,1:40.547,100.547,13.316
4,8,11,1:40.377,100.377,14.625
4,9,27,1:41.168,101.168,16.162
4,10,7,1:40.508,100.508,17.434
4,11,8,1:42.272,102.272,18.264
4,12,20,1:42.068,102.068,19.742
4,13,18,1:42.004,102.004,20.220
4,14,26,1:40.651,100.651,20.699
4,15,99,1:42.443,102.443,21.686
4,16,23,1:40.795,100.795,22.139
4,17,63,1:43.130,103.13,24.023
4,18,88,1:42.880,102.88,26.110
4,19,55,1:40.206,100.206,61.152
4,20,4,1:40.193,100.193,73.213
5,1,44,1:38.501,98.501,
5,2,77,1:38.742,98.742,1.828
5,3,16,1:38.970,98.97,4.193
5,4,5,1:38.976,98.976,4.917
5,5,33,1:38.863,98.863,6.967
5,6,10,1:39.720,99.72,10.818
5,7,3,1:40.254,100.254,15.069
5,8,11,1:40.277,100.277,16.401
5,9,27,1:40.624,100.624,18.285
5,10,7,1:40.443,100.443,19.376
5,11,8,1:41.440,101.44,21.203
5,12,20,1:41.665,101.665,22.906
5,13,18,1:41.702,101.702,23.421
5,14,26,1:41.846,101.846,24.044
5,15,23,1:41.715,101.715,25.353
5,16,99,1:42.604,102.604,25.789
5,17,63,1:42.111,102.111,27.633
5,18,88,1:42.763,102.763,30.372
5,19,55,1:40.418,100.418,63.069
5,20,4,1:40.526,100.526,75.238
6,1,44,1:38.524,98.524,
6,2,77,1:38.698,98.698,2.002
6,3,16,1:38.743,98.743,4.412
6,4,5,1:38.839,98.839,5.232
6,5,33,1:39.154,99.154,7.597
6,6,10,1:39.970,99.97,12.264
6,7,3,1:40.115,100.115,16.660
6,8,11,1:40.294,100.294,18.171
6,9,27,1:40.282,100.282,20.043
6,10,7,1:40.374,100.374,21.226
6,11,8,1:41.282,101.282,23.961
6,12,20,1:41.555,101.555,25.937
6,13,18,1:41.760,101.76,26.657
6,14,26,1:41.473,101.473,26.993
6,15,23,1:41.135,101.135,27.964
6,16,99,1:41.992,101.992,29.257
6,17,63,1:41.802,101.802,30.911
6,18,88,1:42.254,102.254,34.102
6,19,55,1:40.702,100.702,65.247
6,20,4,1:40.603,100.603,77.317
7,1,44,1:38.411,98.411,
7,2,77,1:38.933,98.933,2.524
7,3,16,1:39.101,99.101,5.102
7,4,5,1:39.112,99.112,5.933
7,5,33,1:39.002,99.002,8.188
7,6,10,1:39.871,99.871,13.724
7,7,3,1:40.044,100.044,18.293
7,8,11,1:40.357,100.357,20.117
7,9,27,1:40.472,100.472,22.104
7,10,7,1:40.260,100.26,23.075
7,11,8,1:41.345,101.345,26.895
7,12,20,1:41.766,101.766,29.292
7,13,18,1:41.694,101.694,29.940
7,14,23,1:42.145,102.145,31.698
7,15,63,1:41.859,101.859,34.359
7,16,26,1:46.599,106.599,PIT
7,17,99,1:46.701,106.701,PIT
7,18,88,1:42.378,102.378,38.069
7,19,55,1:40.266,100.266,67.102
7,20,4,1:40.553,100.553,79.459
8,1,44,1:38.296,98.296,
8,2,77,1:38.730,98.73,2.958
8,3,16,1:38.912,98.912,5.718
8,4,5,1:38.933,98.933,6.570
8,5,33,1:38.991,98.991,8.883
8,6,10,1:39.807,99.807,15.235
8,7,3,1:40.179,100.179,20.176
8,8,11,1:40.494,100.494,22.315
8,9,27,1:40.416,100.416,24.224
8,10,7,1:40.016,100.016,24.795
8,11,20,1:41.478,101.478,32.474
8,12,18,1:41.446,101.446,33.090
8,13,8,1:45.814,105.814,PIT
8,14,23,1:41.330,101.33,34.732
8,15,63,1:41.368,101.368,37.431
8,16,88,1:41.878,101.878,41.651
8,17,26,1:53.099,113.099,49.984
8,18,99,2:00.170,120.17,59.421
8,19,55,1:40.228,100.228,69.034
8,20,4,1:40.499,100.499,81.662
9,1,44,1:38.265,98.265,
9,2,77,1:38.641,98.641,3.334
9,3,16,1:38.915,98.915,6.368
9,4,5,1:38.956,98.956,7.261
9,5,33,1:39.108,99.108,9.726
9,6,10,1:39.727,99.727,16.697
9,7,3,1:40.497,100.497,22.408
9,8,11,1:40.336,100.336,24.386
9,9,27,1:40.399,100.399,26.358
9,10,7,1:40.644,100.644,27.174
9,11,18,1:41.254,101.254,36.079
9,12,23,1:40.997,100.997,37.464
9,13,20,1:45.444,105.444,PIT
9,14,63,1:41.355,101.355,40.521
9,15,88,1:41.711,101.711,45.097
9,16,26,1:40.154,100.154,51.873
9,17,8,1:58.437,118.437,54.585
9,18,99,1:39.184,99.184,60.340
9,19,55,1:40.548,100.548,71.317
9,20,4,1:40.362,100.362,83.759
10,1,44,1:38.594,98.594,
10,2,77,1:38.300,98.3,3.040
10,3,16,1:38.981,98.981,6.755
10,4,5,1:38.906,98.906,7.573
10,5,33,1:39.176,99.176,10.308
10,6,10,1:39.720,99.72,17.823
10,7,3,1:40.259,100.259,24.073
10,8,11,1:40.153,100.153,25.945
10,9,7,1:39.939,99.939,28.519
10,10,27,1:41.287,101.287,29.051
10,11,18,1:40.933,100.933,38.418
10,12,23,1:40.676,100.676,39.546
10,13,63,1:41.439,101.439,43.366
10,14,88,1:42.599,102.599,49.102
10,15,26,1:40.187,100.187,53.466
10,16,8,1:39.292,99.292,55.283
10,17,20,1:59.108,119.108,60.167
10,18,99,1:40.096,100.096,61.842
10,19,55,1:40.269,100.269,72.992
10,20,4,1:40.589,100.589,85.754
11,1,44,1:38.328,98.328,
11,2,77,1:38.730,98.73,3.442
11,3,5,1:39.109,99.109,8.354
11,4,16,1:40.993,100.993,9.420
11,5,33,1:39.498,99.498,11.478
11,6,10,1:39.872,99.872,19.367
11,7,3,1:40.450,100.45,26.195
11,8,11,1:40.366,100.366,27.983
11,9,7,1:40.773,100.773,30.964
11,10,27,1:45.975,105.975,PIT
11,11,18,1:40.715,100.715,40.805
11,12,23,1:40.846,100.846,42.064
11,13,63,1:41.769,101.769,46.807
11,14,88,1:42.168,102.168,52.942
11,15,26,1:40.536,100.536,55.674
11,16,8,1:39.607,99.607,56.562
11,17,20,1:38.778,98.778,60.617
11,18,99,1:39.623,99.623,63.137
11,19,55,1:40.370,100.37,75.034
11,20,4,1:40.572,100.572,87.998
12,1,44,1:38.610,98.61,
12,2,77,1:39.224,99.224,4.056
12,3,5,1:39.493,99.493,9.237
12,4,16,1:39.608,99.608,10.418
