lap_no,position,car_no,lap_time,lap_time_sec,gap
8,20,88,1:32.346,92.346,86.090
9,1,77,1:28.664,88.664,
9,2,44,1:29.170,89.17,3.446
9,3,5,1:29.282,89.282,6.196
9,4,33,1:29.363,89.363,7.561
9,5,16,1:32.630,92.63,13.892
9,6,20,1:31.075,91.075,17.504
9,7,8,1:31.024,91.024,18.989
9,8,27,1:30.789,90.789,20.313
9,9,7,1:30.722,90.722,22.127
9,10,4,1:30.664,90.664,24.154
9,11,23,1:30.915,90.915,26.223
9,12,11,1:31.058,91.058,27.963
9,13,18,1:31.113,91.113,29.089
9,14,55,1:30.899,90.899,29.680
9,15,26,1:31.119,91.119,30.604
9,16,10,1:31.161,91.161,31.058
9,17,99,1:31.049,91.049,35.095
9,18,63,1:32.593,92.593,42.563
9,19,3,1:30.185,90.185,75.356
10,1,77,1:29.028,89.028,
10,2,88,1:34.857,94.857,1 LAP
10,3,44,1:29.341,89.341,3.759
10,4,5,1:29.394,89.394,6.562
10,5,33,1:29.452,89.452,7.985
10,6,16,1:29.905,89.905,14.769
10,7,20,1:30.846,90.846,19.322
10,8,8,1:30.636,90.636,20.597
10,9,27,1:30.454,90.454,21.739
10,10,7,1:31.048,91.048,24.147
10,11,4,1:30.787,90.787,25.913
10,12,23,1:30.989,90.989,28.184
10,13,11,1:30.945,90.945,29.880
10,14,18,1:30.976,90.976,31.037
10,15,26,1:31.226,91.226,32.802
10,16,10,1:31.449,91.449,33.479
10,17,99,1:31.198,91.198,37.265
10,18,63,1:32.412,92.412,45.947
10,19,3,1:30.229,90.229,76.557
11,1,77,1:28.985,88.985,
11,2,44,1:28.784,88.784,3.558
11,3,5,1:29.246,89.246,6.823
11,4,33,1:29.440,89.44,8.440
11,5,88,1:36.562,96.562,1 LAP
11,6,16,1:29.912,89.912,15.696
11,7,20,1:30.748,90.748,21.085
11,8,8,1:30.870,90.87,22.482
11,9,27,1:30.653,90.653,23.407
11,10,7,1:30.586,90.586,25.748
11,11,4,1:30.813,90.813,27.741
11,12,23,1:31.194,91.194,30.393
11,13,11,1:30.850,90.85,31.745
11,14,18,1:30.767,90.767,32.819
11,15,26,1:30.191,90.191,34.008
11,16,10,1:30.129,90.129,34.623
11,17,99,1:31.186,91.186,39.466
11,18,63,1:31.997,91.997,48.959
11,19,3,1:30.223,90.223,77.795
12,1,77,1:28.633,88.633,
12,2,44,1:28.733,88.733,3.658
12,3,5,1:29.102,89.102,7.292
12,4,33,1:29.104,89.104,8.911
12,5,88,1:33.526,93.526,1 LAP
12,6,16,1:29.828,89.828,16.891
12,7,20,1:30.581,90.581,23.033
12,8,8,1:30.853,90.853,24.702
12,9,27,1:30.926,90.926,25.700
12,10,4,1:31.415,91.415,30.523
12,11,23,1:31.165,91.165,32.925
12,12,11,1:31.103,91.103,34.215
12,13,18,1:31.081,91.081,35.267
12,14,26,1:30.652,90.652,36.027
12,15,10,1:30.497,90.497,36.487
12,16,99,1:30.968,90.968,41.801
12,17,7,1:49.402,109.402,PIT
12,18,63,1:32.384,92.384,52.710
12,19,3,1:30.166,90.166,79.328
13,1,77,1:28.626,88.626,
13,2,44,1:28.616,88.616,3.648
13,3,5,1:28.789,88.789,7.455
13,4,33,1:28.940,88.94,9.225
13,5,16,1:29.282,89.282,17.547
13,6,88,1:34.236,94.236,1 LAP
13,7,20,1:30.388,90.388,24.795
13,8,8,1:30.070,90.07,26.146
13,9,4,1:30.359,90.359,32.256
13,10,23,1:30.782,90.782,35.081
13,11,18,1:30.808,90.808,37.449
13,12,26,1:30.803,90.803,38.204
13,13,10,1:31.143,91.143,39.004
13,14,99,1:30.879,90.879,44.054
13,15,27,1:47.604,107.604,PIT
13,16,7,1:35.905,95.905,53.796
13,17,11,1:50.063,110.063,PIT
13,18,63,1:33.004,93.004,57.088
13,19,3,1:30.078,90.078,80.780
14,1,77,1:28.300,88.3,
14,2,44,1:28.495,88.495,3.843
14,3,33,1:29.058,89.058,9.983
14,4,16,1:29.390,89.39,18.637
14,5,5,1:46.627,106.627,PIT
14,6,88,1:33.385,93.385,1 LAP
14,7,8,1:30.555,90.555,28.401
14,8,4,1:30.424,90.424,34.380
14,9,18,1:30.138,90.138,39.287
14,10,26,1:30.561,90.561,40.465
14,11,10,1:30.303,90.303,41.007
14,12,20,1:48.686,108.686,PIT
14,13,99,1:30.752,90.752,46.506
14,14,27,1:34.476,94.476,50.854
14,15,7,1:29.255,89.255,54.751
14,16,23,1:48.191,108.191,PIT
14,17,63,1:32.319,92.319,61.107
14,18,11,1:34.939,94.939,62.291
14,19,3,1:30.083,90.083,82.563
15,1,77,1:28.217,88.217,
15,2,33,1:28.948,88.948,10.714
15,3,16,1:29.495,89.495,19.915
15,4,44,1:46.079,106.079,PIT
15,5,5,1:33.692,93.692,31.257
15,6,88,1:35.470,95.47,1 LAP
15,7,18,1:30.077,90.077,41.147
15,8,26,1:29.760,89.76,42.008
15,9,10,1:29.907,89.907,42.697
15,10,99,1:30.559,90.559,48.848
15,11,20,1:35.021,95.021,51.985
15,12,27,1:30.699,90.699,53.336
15,13,4,1:48.026,108.026,PIT
15,14,7,1:29.190,89.19,55.724
15,15,8,1:56.519,116.519,PIT
15,16,23,1:34.855,94.855,61.610
15,17,11,1:29.916,89.916,63.990
15,18,63,1:33.235,93.235,66.125
15,19,3,1:30.667,90.667,85.013
16,1,77,1:28.238,88.238,
16,2,33,1:28.757,88.757,11.233
16,3,16,1:29.099,89.099,20.776
16,4,44,1:35.642,95.642,29.109
16,5,5,1:27.954,87.954,30.973
16,6,88,1:33.518,93.518,1 LAP
16,7,18,1:29.590,89.59,42.499
16,8,26,1:29.711,89.711,43.481
16,9,10,1:29.569,89.569,44.028
16,10,99,1:31.580,91.58,52.190
16,11,20,1:28.877,88.877,52.624
16,12,27,1:29.654,89.654,54.752
16,13,7,1:30.028,90.028,57.514
16,14,4,1:35.822,95.822,61.773
16,15,8,1:35.081,95.081,63.546
16,16,23,1:31.273,91.273,64.645
16,17,11,1:29.675,89.675,65.427
16,18,63,1:32.137,92.137,70.024
16,19,3,1:30.239,90.239,87.014
17,1,77,1:28.377,88.377,
17,2,33,1:28.958,88.958,11.814
17,3,16,1:29.339,89.339,21.738
17,4,44,1:28.801,88.801,29.533
17,5,5,1:28.561,88.561,31.157
17,6,88,1:32.374,92.374,1 LAP
17,7,18,1:29.716,89.716,43.838
17,8,26,1:29.692,89.692,44.796
17,9,10,1:29.830,89.83,45.481
17,10,99,1:31.247,91.247,55.060
17,11,20,1:31.436,91.436,55.683
17,12,27,1:30.196,90.196,56.571
17,13,7,1:29.526,89.526,58.663
17,14,4,1:28.555,88.555,61.951
17,15,8,1:28.462,88.462,63.631
17,16,23,1:29.753,89.753,66.021
17,17,11,1:30.215,90.215,67.265
17,18,63,1:32.299,92.299,73.946
18,1,77,1:28.203,88.203,
18,2,3,1:31.569,91.569,1 LAP
18,3,33,1:28.865,88.865,12.476
18,4,16,1:28.991,88.991,22.526
18,5,44,1:28.667,88.667,29.997
18,6,5,1:28.657,88.657,31.611
18,7,18,1:29.565,89.565,45.200
18,8,26,1:30.004,90.004,46.597
18,9,10,1:30.036,90.036,47.314
18,10,88,1:35.777,95.777,1 LAP
18,11,20,1:30.606,90.606,58.086
18,12,99,1:32.479,92.479,59.336
18,13,27,1:31.068,91.068,59.436
18,14,7,1:29.731,89.731,60.191
18,15,4,1:29.118,89.118,62.866
18,16,8,1:29.159,89.159,64.587
18,17,23,1:29.804,89.804,67.622
18,18,11,1:29.801,89.801,68.863
18,19,63,1:32.118,92.118,77.861
19,1,77,1:27.836,87.836,
19,2,3,1:29.848,89.848,1 LAP
19,3,33,1:28.585,88.585,13.225
19,4,16,1:28.926,88.926,23.616
19,5,44,1:29.367,89.367,31.528
19,6,5,1:29.248,89.248,33.023
19,7,18,1:29.316,89.316,46.680
