lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,44,1:26.434,86.434,
1,2,77,1:28.519,88.519,2.085
1,3,33,1:29.414,89.414,2.980
1,4,5,1:30.453,90.453,4.019
1,5,16,1:31.214,91.214,4.780
1,6,10,1:31.885,91.885,5.451
1,7,8,1:32.573,92.573,6.139
1,8,20,1:33.075,93.075,6.641
1,9,26,1:33.892,93.892,7.458
1,10,23,1:34.539,94.539,8.105
1,11,55,1:35.138,95.138,8.704
1,12,3,1:35.756,95.756,9.322
1,13,11,1:36.385,96.385,9.951
1,14,18,1:36.721,96.721,10.287
1,15,99,1:37.251,97.251,10.817
1,16,4,1:37.604,97.604,11.170
1,17,88,1:38.564,98.564,12.130
1,18,27,1:38.687,98.687,12.253
1,19,63,1:39.457,99.457,13.023
1,20,7,1:43.029,103.029,16.595
2,1,44,1:23.657,83.657,
2,2,77,1:23.495,83.495,1.923
2,3,33,1:23.595,83.595,2.918
2,4,5,1:23.893,83.893,4.255
2,5,16,1:24.378,84.378,5.501
2,6,10,1:24.591,84.591,6.385
2,7,8,1:24.854,84.854,7.336
2,8,20,1:25.593,85.593,8.577
2,9,26,1:25.634,85.634,9.435
2,10,23,1:26.009,86.009,10.457
2,11,55,1:26.323,86.323,11.370
2,12,3,1:26.364,86.364,12.029
2,13,11,1:26.549,86.549,12.843
2,14,18,1:26.917,86.917,13.547
2,15,99,1:27.105,87.105,14.265
2,16,4,1:27.195,87.195,14.708
2,17,27,1:27.232,87.232,15.828
2,18,88,1:28.746,88.746,17.219
2,19,63,1:28.445,88.445,17.811
2,20,7,1:25.550,85.55,18.488
3,1,44,1:23.183,83.183,
3,2,77,1:23.021,83.021,1.761
3,3,33,1:23.359,83.359,3.094
3,4,5,1:23.455,83.455,4.527
3,5,16,1:23.549,83.549,5.867
3,6,10,1:23.795,83.795,6.997
3,7,8,1:24.400,84.4,8.553
3,8,20,1:24.883,84.883,10.277
3,9,26,1:24.954,84.954,11.206
3,10,23,1:24.971,84.971,12.245
3,11,55,1:25.210,85.21,13.397
3,12,3,1:25.278,85.278,14.124
3,13,11,1:25.829,85.829,15.489
3,14,18,1:25.962,85.962,16.326
3,15,99,1:25.880,85.88,16.962
3,16,4,1:26.159,86.159,17.684
3,17,27,1:26.311,86.311,18.956
3,18,88,1:27.102,87.102,21.138
3,19,7,1:26.653,86.653,21.958
3,20,63,1:28.553,88.553,23.181
4,1,44,1:22.782,82.782,
4,2,77,1:23.161,83.161,2.140
4,3,33,1:23.097,83.097,3.409
4,4,5,1:23.378,83.378,5.123
4,5,16,1:23.153,83.153,6.238
4,6,10,1:23.635,83.635,7.850
4,7,8,1:24.389,84.389,10.160
4,8,20,1:24.485,84.485,11.980
4,9,26,1:24.568,84.568,12.992
4,10,23,1:24.565,84.565,14.028
4,11,55,1:24.586,84.586,15.201
4,12,3,1:24.611,84.611,15.953
4,13,11,1:25.141,85.141,17.848
4,14,18,1:25.340,85.34,18.884
4,15,99,1:25.567,85.567,19.747
4,16,4,1:25.283,85.283,20.185
4,17,27,1:25.576,85.576,21.750
4,18,88,1:27.185,87.185,25.541
4,19,7,1:26.605,86.605,25.781
4,20,63,1:26.660,86.66,27.059
5,1,44,1:22.698,82.698,
5,2,77,1:22.676,82.676,2.118
5,3,33,1:22.803,82.803,3.514
5,4,5,1:23.232,83.232,5.657
5,5,16,1:23.277,83.277,6.817
5,6,10,1:23.402,83.402,8.554
5,7,8,1:24.094,84.094,11.556
5,8,20,1:24.522,84.522,13.804
5,9,26,1:24.806,84.806,15.100
5,10,23,1:25.025,85.025,16.355
5,11,55,1:24.801,84.801,17.304
5,12,3,1:24.595,84.595,17.850
5,13,11,1:24.826,84.826,19.976
5,14,18,1:25.231,85.231,21.417
5,15,99,1:25.402,85.402,22.451
5,16,4,1:25.456,85.456,22.943
5,17,27,1:25.331,85.331,24.383
5,18,7,1:24.316,84.316,27.399
5,19,88,1:27.130,87.13,29.973
5,20,63,1:26.616,86.616,30.977
6,1,44,1:22.310,82.31,
6,2,77,1:22.536,82.536,2.344
6,3,33,1:22.817,82.817,4.021
6,4,5,1:23.146,83.146,6.493
6,5,16,1:22.933,82.933,7.440
6,6,10,1:23.408,83.408,9.652
6,7,8,1:23.786,83.786,13.032
6,8,20,1:24.349,84.349,15.843
6,9,26,1:24.499,84.499,17.289
6,10,23,1:24.732,84.732,18.777
6,11,55,1:24.856,84.856,19.850
6,12,3,1:24.993,84.993,20.533
6,13,11,1:24.721,84.721,22.387
6,14,18,1:25.193,85.193,24.300
6,15,4,1:24.861,84.861,25.494
6,16,27,1:25.273,85.273,27.346
6,17,7,1:25.007,85.007,30.096
6,18,99,1:30.587,90.587,PIT
6,19,88,1:26.308,86.308,33.971
6,20,63,1:26.713,86.713,35.380
7,1,44,1:22.254,82.254,
7,2,77,1:22.589,82.589,2.679
7,3,33,1:22.953,82.953,4.720
7,4,5,1:22.906,82.906,7.145
7,5,16,1:22.792,82.792,7.978
7,6,10,1:23.114,83.114,10.512
7,7,8,1:23.710,83.71,14.488
7,8,20,1:24.369,84.369,17.958
7,9,26,1:24.285,84.285,19.320
7,10,23,1:24.319,84.319,20.842
7,11,55,1:24.505,84.505,22.101
7,12,3,1:24.798,84.798,23.077
7,13,11,1:24.712,84.712,24.845
7,14,18,1:25.298,85.298,27.344
7,15,4,1:24.940,84.94,28.180
7,16,27,1:24.238,84.238,29.330
7,17,7,1:24.866,84.866,32.708
7,18,88,1:26.312,86.312,38.029
7,19,63,1:26.054,86.054,39.180
7,20,99,1:43.822,103.822,52.296
8,1,44,1:22.355,82.355,
8,2,77,1:22.260,82.26,2.584
8,3,33,1:22.625,82.625,4.990
8,4,5,1:22.957,82.957,7.747
8,5,16,1:23.078,83.078,8.701
8,6,10,1:22.874,82.874,11.031
8,7,8,1:24.383,84.383,16.516
8,8,20,1:24.456,84.456,20.059
8,9,26,1:24.177,84.177,21.142
8,10,23,1:24.174,84.174,22.661
8,11,55,1:24.640,84.64,24.386
8,12,3,1:24.603,84.603,25.325
8,13,11,1:24.785,84.785,27.275
8,14,18,1:25.238,85.238,30.227
8,15,4,1:24.956,84.956,30.781
8,16,27,1:24.706,84.706,31.681
8,17,7,1:24.385,84.385,34.738
8,18,88,1:26.074,86.074,41.748
8,19,63,1:26.071,86.071,42.896
8,20,99,1:24.731,84.731,54.672
9,1,44,1:21.972,81.972,
9,2,77,1:22.296,82.296,2.908
9,3,33,1:22.709,82.709,5.727
9,4,5,1:22.975,82.975,8.750
9,5,16,1:22.749,82.749,9.478
9,6,10,1:23.840,83.84,12.899
9,7,8,1:24.171,84.171,18.715
9,8,20,1:24.382,84.382,22.469
9,9,26,1:24.339,84.339,23.509
9,10,23,1:24.415,84.415,25.104
9,11,55,1:24.448,84.448,26.862
9,12,3,1:24.482,84.482,27.835
9,13,11,1:24.701,84.701,30.004
9,14,18,1:25.518,85.518,33.773
9,15,4,1:26.011,86.011,34.820
9,16,27,1:25.666,85.666,35.375
9,17,7,1:24.760,84.76,37.526
9,18,88,1:26.190,86.19,45.966
9,19,63,1:26.191,86.191,47.115
9,20,99,1:24.947,84.947,57.647
10,1,44,1:21.974,81.974,
10,2,77,1:22.211,82.211,3.145
10,3,33,1:22.551,82.551,6.304
10,4,5,1:23.081,83.081,9.857
10,5,16,1:23.165,83.165,10.669
10,6,10,1:23.436,83.436,14.361
10,7,8,1:24.058,84.058,20.799
10,8,20,1:23.949,83.949,24.444
10,9,26,1:24.289,84.289,25.824
10,10,23,1:24.037,84.037,27.167
10,11,55,1:24.190,84.19,29.078
10,12,3,1:23.872,83.872,29.733
10,13,11,1:24.337,84.337,32.367
10,14,18,1:24.894,84.894,36.693
10,15,27,1:24.375,84.375,37.776
10,16,4,1:26.000,86.0,38.846
10,17,7,1:24.716,84.716,40.268
10,18,88,1:26.224,86.224,50.216
10,19,63,1:25.869,85.869,51.010
10,20,99,1:25.012,85.012,60.685
11,1,44,1:22.284,82.284,
11,2,77,1:22.275,82.275,3.136
11,3,33,1:22.502,82.502,6.522
11,4,5,1:23.160,83.16,10.733
11,5,16,1:23.053,83.053,11.438
11,6,10,1:23.206,83.206,15.283
11,7,8,1:24.053,84.053,22.568
11,8,20,1:24.120,84.12,26.280
11,9,26,1:24.163,84.163,27.703
11,10,23,1:24.246,84.246,29.129
11,11,55,1:24.321,84.321,31.115
11,12,3,1:24.364,84.364,31.813
11,13,11,1:24.215,84.215,34.298
11,14,18,1:24.643,84.643,39.052
11,15,27,1:24.476,84.476,39.968
11,16,4,1:24.729,84.729,41.291
11,17,7,1:24.609,84.609,42.593
11,18,63,1:25.782,85.782,54.508
11,19,88,1:28.315,88.315,56.247
11,20,99,1:24.979,84.979,63.380
12,1,44,1:21.998,81.998,
12,2,77,1:22.300,82.3,3.438
12,3,33,1:22.535,82.535,7.059
12,4,16,1:22.188,82.188,11.628
12,5,5,1:24.650,84.65,13.385
12,6,10,1:23.257,83.257,16.542
12,7,8,1:24.106,84.106,24.676
12,8,20,1:23.994,83.994,28.276
12,9,26,1:23.798,83.798,29.503
12,10,23,1:23.981,83.981,31.112
12,11,55,1:24.142,84.142,33.259
12,12,3,1:24.221,84.221,34.036
12,13,11,1:24.193,84.193,36.493
12,14,18,1:24.514,84.514,41.568
12,15,27,1:24.273,84.273,42.243
12,16,4,1:24.290,84.29,43.583
12,17,7,1:24.293,84.293,44.888
12,18,63,1:25.724,85.724,58.234
12,19,88,1:26.431,86.431,60.680
12,20,99,1:24.686,84.686,66.068
13,1,44,1:21.947,81.947,
13,2,77,1:22.097,82.097,3.588
13,3,33,1:22.617,82.617,7.729
13,4,16,1:22.808,82.808,12.489
13,5,5,1:23.583,83.583,15.021
13,6,10,1:23.138,83.138,17.733
13,7,8,1:23.980,83.98,26.709
13,8,20,1:23.969,83.969,30.298
13,9,26,1:24.082,84.082,31.638
13,10,23,1:24.090,84.09,33.255
13,11,55,1:24.085,84.085,35.397
13,12,3,1:23.961,83.961,36.050
13,13,11,1:23.920,83.92,38.466
13,14,18,1:24.228,84.228,43.849
13,15,27,1:24.386,84.386,44.682
13,16,4,1:24.538,84.538,46.174
13,17,7,1:24.569,84.569,47.510
13,18,63,1:25.829,85.829,62.116
13,19,88,1:26.369,86.369,65.102
13,20,99,1:24.933,84.933,69.054
14,1,44,1:22.151,82.151,
14,2,77,1:21.979,81.979,3.416
14,3,33,1:22.688,82.688,8.266
14,4,16,1:22.925,82.925,13.263
14,5,5,1:23.449,83.449,16.319
14,6,10,1:23.565,83.565,19.147
14,7,8,1:24.019,84.019,28.577
14,8,20,1:24.108,84.108,32.255
14,9,26,1:24.499,84.499,33.986
14,10,23,1:24.102,84.102,35.206
14,11,55,1:24.569,84.569,37.815
14,12,3,1:24.637,84.637,38.536
14,13,11,1:24.576,84.576,40.891
14,14,18,1:24.409,84.409,46.107
14,15,27,1:24.214,84.214,46.745
14,16,4,1:24.363,84.363,48.386
14,17,7,1:24.567,84.567,49.926
14,18,63,1:25.879,85.879,65.844
14,19,88,1:25.840,85.84,68.791
14,20,99,1:25.162,85.162,72.065
15,1,44,1:21.766,81.766,
15,2,77,1:22.094,82.094,3.744
15,3,33,1:22.850,82.85,9.350
15,4,16,1:22.869,82.869,14.366
15,5,5,1:23.358,83.358,17.911
15,6,10,1:23.636,83.636,21.017
15,7,8,1:24.148,84.148,30.959
15,8,20,1:23.988,83.988,34.477
15,9,26,1:23.979,83.979,36.199
15,10,23,1:24.235,84.235,37.675
15,11,55,1:24.381,84.381,40.430
15,12,3,1:24.624,84.624,41.394
15,13,11,1:24.200,84.2,43.325
15,14,18,1:24.516,84.516,48.857
15,15,27,1:24.512,84.512,49.491
15,16,4,1:24.465,84.465,51.085
15,17,7,1:24.580,84.58,52.740
15,18,63,1:26.117,86.117,70.195
15,19,88,1:25.955,85.955,72.980
15,20,99,1:25.182,85.182,75.481
16,1,44,1:21.913,81.913,
16,2,77,1:22.190,82.19,4.021
16,3,33,1:22.968,82.968,10.405
16,4,16,1:23.008,83.008,15.461
16,5,5,1:23.682,83.682,19.680
16,6,10,1:23.423,83.423,22.527
16,7,8,1:23.923,83.923,32.969
16,8,20,1:24.205,84.205,36.769
16,9,26,1:24.021,84.021,38.307
16,10,23,1:24.058,84.058,39.820
16,11,55,1:23.999,83.999,42.516
16,12,3,1:24.370,84.37,43.851
16,13,11,1:24.191,84.191,45.603
16,14,18,1:24.320,84.32,51.264
16,15,27,1:24.273,84.273,51.851
16,16,4,1:24.503,84.503,53.675
16,17,7,1:24.633,84.633,55.460
16,18,63,1:26.110,86.11,74.392
16,19,88,1:25.930,85.93,76.997
16,20,99,1:25.156,85.156,78.724
17,1,44,1:21.904,81.904,
17,2,77,1:22.174,82.174,4.291
17,3,33,1:23.015,83.015,11.516
17,4,16,1:22.606,82.606,16.163
17,5,5,1:23.832,83.832,21.608
17,6,10,1:23.683,83.683,24.306
17,7,8,1:23.856,83.856,34.921
17,8,20,1:23.908,83.908,38.773
17,9,26,1:24.254,84.254,40.657
17,10,23,1:24.223,84.223,42.139
