lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,77,1:50.893,110.893,
1,2,44,1:52.789,112.789,1.896
1,3,5,1:53.543,113.543,2.650
1,4,11,1:54.440,114.44,3.547
1,5,33,1:55.904,115.904,5.011
1,6,4,1:55.962,115.962,5.069
1,7,26,1:57.033,117.033,6.140
1,8,55,1:57.065,117.065,6.172
1,9,3,1:58.555,118.555,7.662
1,10,16,1:59.143,119.143,8.250
1,11,18,1:59.377,119.377,8.484
1,12,23,2:00.360,120.36,9.467
1,13,20,2:01.239,121.239,10.346
1,14,27,2:01.808,121.808,10.915
1,15,99,2:02.515,122.515,11.622
1,16,8,2:04.198,124.198,13.305
1,17,7,2:05.201,125.201,14.308
1,18,63,2:06.697,126.697,15.804
1,19,10,2:07.221,127.221,16.328
1,20,88,2:07.477,127.477,16.584
2,1,77,1:47.592,107.592,
2,2,44,1:47.787,107.787,2.091
2,3,5,1:49.704,109.704,4.762
2,4,11,1:50.157,110.157,6.112
2,5,33,1:49.238,109.238,6.657
2,6,4,1:50.771,110.771,8.248
2,7,26,1:50.837,110.837,9.385
2,8,55,1:51.361,111.361,9.941
2,9,3,1:50.773,110.773,10.843
2,10,16,1:50.287,110.287,10.945
2,11,18,1:50.847,110.847,11.739
2,12,23,1:50.885,110.885,12.760
2,13,20,1:51.357,111.357,14.111
2,14,27,1:51.512,111.512,14.835
2,15,99,1:51.636,111.636,15.666
2,16,8,1:51.143,111.143,16.856
2,17,7,1:50.729,110.729,17.445
2,18,63,1:53.565,113.565,21.777
2,19,10,1:53.143,113.143,21.879
2,20,88,1:53.879,113.879,22.871
3,1,77,1:47.604,107.604,
3,2,44,1:47.822,107.822,2.309
3,3,5,1:49.032,109.032,6.190
3,4,11,1:49.689,109.689,8.197
3,5,33,1:49.552,109.552,8.605
3,6,4,1:50.172,110.172,10.816
3,7,55,1:49.828,109.828,12.165
3,8,26,1:50.422,110.422,12.203
3,9,16,1:49.478,109.478,12.819
3,10,18,1:50.201,110.201,14.336
3,11,3,1:51.333,111.333,14.572
3,12,23,1:50.461,110.461,15.617
3,13,20,1:50.873,110.873,17.380
3,14,27,1:50.755,110.755,17.986
3,15,99,1:50.645,110.645,18.707
3,16,8,1:50.479,110.479,19.731
3,17,7,1:50.164,110.164,20.005
3,18,10,1:48.425,108.425,22.700
3,19,63,1:51.807,111.807,25.980
3,20,88,1:51.956,111.956,27.223
4,1,77,1:47.698,107.698,
4,2,44,1:48.004,108.004,2.615
4,3,5,1:48.356,108.356,6.848
4,4,11,1:49.423,109.423,9.922
4,5,33,1:49.338,109.338,10.245
4,6,4,1:49.618,109.618,12.736
4,7,55,1:49.849,109.849,14.316
4,8,16,1:49.253,109.253,14.374
4,9,18,1:51.675,111.675,18.313
4,10,26,1:53.963,113.963,18.468
4,11,3,1:51.810,111.81,18.684
4,12,23,1:51.021,111.021,18.940
4,13,20,1:50.816,110.816,20.498
4,14,27,1:50.614,110.614,20.902
4,15,99,1:50.609,110.609,21.618
4,16,8,1:50.433,110.433,22.466
4,17,7,1:51.214,111.214,23.521
4,18,10,1:48.557,108.557,23.559
4,19,63,1:50.824,110.824,29.106
4,20,88,1:51.272,111.272,30.797
5,1,77,1:47.550,107.55,
5,2,44,1:47.720,107.72,2.785
5,3,5,1:49.221,109.221,8.519
5,4,11,1:49.778,109.778,12.150
5,5,33,1:49.563,109.563,12.258
5,6,16,1:47.852,107.852,14.676
5,7,4,1:49.594,109.594,14.780
5,8,55,1:50.397,110.397,17.163
5,9,18,1:50.027,110.027,20.790
5,10,3,1:51.082,111.082,22.216
5,11,23,1:51.845,111.845,23.235
5,12,20,1:54.712,114.712,27.660
5,13,27,1:54.333,114.333,27.685
5,14,99,1:53.976,113.976,28.044
5,15,10,1:52.738,112.738,28.747
5,16,8,1:53.846,113.846,28.762
5,17,7,1:53.322,113.322,29.293
5,18,63,1:50.507,110.507,32.063
5,19,26,2:02.152,122.152,PIT
5,20,88,1:51.513,111.513,34.760
6,1,77,1:47.891,107.891,
6,2,44,1:48.293,108.293,3.187
6,3,5,1:49.157,109.157,9.785
6,4,33,1:49.568,109.568,13.935
