lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,5,1:37.542,97.542,
1,2,77,1:38.944,98.944,1.402
1,3,16,1:39.466,99.466,1.924
1,4,44,1:39.941,99.941,2.399
1,5,33,1:41.170,101.17,3.628
1,6,55,1:41.786,101.786,4.244
1,7,20,1:42.541,102.541,4.999
1,8,7,1:43.097,103.097,5.555
1,9,3,1:43.535,103.535,5.993
1,10,11,1:44.180,104.18,6.638
1,11,27,1:44.549,104.549,7.007
1,12,10,1:45.321,105.321,7.779
1,13,23,1:46.029,106.029,8.487
1,14,4,1:46.113,106.113,8.571
1,15,99,1:46.412,106.412,8.870
1,16,26,1:46.565,106.565,9.023
1,17,88,1:47.298,107.298,9.756
1,18,63,1:47.726,107.726,10.184
1,19,18,2:12.920,132.92,PIT
1,20,8,2:19.964,139.964,PIT
2,1,5,1:36.605,96.605,
2,2,16,1:36.602,96.602,1.921
2,3,44,1:37.993,97.993,3.787
2,4,77,1:40.173,100.173,4.970
2,5,33,1:38.718,98.718,5.741
2,6,55,1:38.869,98.869,6.508
2,7,20,1:38.870,98.87,7.264
2,8,7,1:38.792,98.792,7.742
2,9,3,1:38.949,98.949,8.337
2,10,11,1:38.832,98.832,8.865
2,11,27,1:38.850,98.85,9.252
2,12,10,1:39.116,99.116,10.290
2,13,4,1:38.754,98.754,10.720
2,14,23,1:39.710,99.71,11.592
2,15,26,1:39.828,99.828,12.246
2,16,99,1:40.452,100.452,12.717
2,17,88,1:41.041,101.041,14.192
2,18,63,1:40.752,100.752,14.331
2,19,18,2:07.111,127.111,65.884
2,20,8,2:05.015,125.015,70.832
3,1,5,1:36.961,96.961,
3,2,16,1:36.383,96.383,1.343
3,3,44,1:36.759,96.759,3.585
3,4,77,1:38.041,98.041,6.050
3,5,33,1:38.747,98.747,7.527
3,6,55,1:38.570,98.57,8.117
3,7,20,1:38.828,98.828,9.131
3,8,7,1:38.882,98.882,9.663
3,9,3,1:38.702,98.702,10.078
3,10,11,1:38.951,98.951,10.855
3,11,27,1:39.065,99.065,11.356
3,12,10,1:38.794,98.794,12.123
3,13,4,1:38.879,98.879,12.638
3,14,23,1:38.555,98.555,13.186
3,15,26,1:38.770,98.77,14.055
3,16,99,1:38.727,98.727,14.483
3,17,88,1:40.375,100.375,17.606
3,18,63,1:40.776,100.776,18.146
3,19,18,1:37.816,97.816,66.739
3,20,8,1:37.262,97.262,71.133
4,1,5,1:37.329,97.329,
4,2,16,1:36.874,96.874,0.888
4,3,44,1:37.569,97.569,3.825
4,4,77,1:38.212,98.212,6.933
4,5,33,1:38.408,98.408,8.606
4,6,20,1:39.104,99.104,10.906
4,7,3,1:38.942,98.942,11.691
4,8,7,1:40.218,100.218,12.552
4,9,27,1:39.698,99.698,13.725
4,10,11,1:40.747,100.747,14.273
4,11,10,1:40.003,100.003,14.797
4,12,4,1:40.041,100.041,15.350
4,13,23,1:39.832,99.832,15.689
4,14,26,1:39.401,99.401,16.127
4,15,99,1:39.401,99.401,16.555
4,16,63,1:40.420,100.42,21.237
4,17,88,1:41.838,101.838,22.115
4,18,55,2:15.038,135.038,PIT
4,19,18,1:38.329,98.329,67.739
4,20,8,1:37.953,97.953,71.757
5,1,5,1:37.554,97.554,
5,2,16,1:37.214,97.214,0.548
5,3,44,1:36.967,96.967,3.238
5,4,77,1:37.905,97.905,7.284
5,5,33,1:37.871,97.871,8.923
5,6,20,1:38.917,98.917,12.269
5,7,3,1:38.580,98.58,12.717
5,8,7,1:38.460,98.46,13.458
5,9,27,1:38.139,98.139,14.310
5,10,11,1:38.503,98.503,15.222
5,11,10,1:38.574,98.574,15.817
5,12,4,1:38.588,98.588,16.384
5,13,23,1:39.142,99.142,17.277
5,14,26,1:39.400,99.4,17.973
5,15,99,1:39.456,99.456,18.457
5,16,63,1:39.938,99.938,23.621
5,17,88,1:39.958,99.958,24.519
5,18,18,1:37.916,97.916,68.101
5,19,8,1:38.403,98.403,72.606
5,20,55,2:18.084,138.084,86.356
6,1,16,1:36.911,96.911,
6,2,5,1:38.630,98.63,1.171
6,3,44,1:37.029,97.029,2.808
6,4,77,1:37.171,97.171,6.996
6,5,33,1:37.649,97.649,9.113
6,6,3,1:38.523,98.523,13.781
6,7,7,1:39.405,99.405,15.404
6,8,27,1:39.082,99.082,15.933
6,9,20,1:42.033,102.033,16.843
6,10,11,1:39.449,99.449,17.212
6,11,10,1:39.343,99.343,17.701
6,12,4,1:39.247,99.247,18.172
6,13,23,1:38.824,98.824,18.642
6,14,26,1:38.617,98.617,19.131
6,15,99,1:38.925,98.925,19.923
6,16,88,1:40.209,100.209,27.269
6,17,63,1:42.050,102.05,28.212
6,18,18,1:37.911,97.911,68.553
6,19,8,1:38.880,98.88,74.027
6,20,55,1:35.842,95.842,84.739
7,1,16,1:37.068,97.068,
7,2,5,1:37.550,97.55,1.653
7,3,44,1:37.637,97.637,3.377
