lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,77,1:34.461,94.461,
1,2,44,1:34.895,94.895,0.434
1,3,16,1:36.045,96.045,1.584
1,4,33,1:36.721,96.721,2.260
1,5,5,1:37.360,97.36,2.899
1,6,10,1:38.238,98.238,3.777
1,7,4,1:39.321,99.321,4.860
1,8,3,1:39.643,99.643,5.182
1,9,27,1:40.192,100.192,5.731
1,10,23,1:40.608,100.608,6.147
1,11,55,1:41.311,101.311,6.850
1,12,7,1:42.014,102.014,7.553
1,13,99,1:42.302,102.302,7.841
1,14,11,1:42.803,102.803,8.342
1,15,18,1:43.173,103.173,8.712
1,16,26,1:43.641,103.641,9.180
1,17,63,1:44.462,104.462,10.001
1,18,88,1:45.665,105.665,11.204
1,19,8,2:09.704,129.704,PIT
1,20,20,2:39.140,159.14,PIT
2,1,77,1:31.644,91.644,
2,2,44,1:31.923,91.923,0.713
2,3,16,1:32.158,92.158,2.098
2,4,33,1:32.195,92.195,2.811
2,5,5,1:32.383,92.383,3.638
2,6,10,1:32.305,92.305,4.438
2,7,4,1:33.180,93.18,6.396
2,8,3,1:33.528,93.528,7.066
2,9,27,1:33.790,93.79,7.877
2,10,23,1:34.078,94.078,8.581
2,11,55,1:34.057,94.057,9.263
2,12,7,1:34.231,94.231,10.140
2,13,99,1:34.840,94.84,11.037
2,14,11,1:34.738,94.738,11.436
2,15,18,1:34.761,94.761,11.829
2,16,26,1:34.766,94.766,12.302
2,17,63,1:35.036,95.036,13.393
2,18,88,1:35.258,95.258,14.818
2,19,8,2:04.009,124.009,67.608
3,1,77,1:31.985,91.985,
3,2,44,1:31.635,91.635,0.363
3,3,16,1:31.883,91.883,1.996
3,4,33,1:31.929,91.929,2.755
3,5,5,1:31.816,91.816,3.469
3,6,10,1:31.847,91.847,4.300
3,7,20,2:04.944,124.944,1 LAP
3,8,4,1:32.498,92.498,6.909
3,9,3,1:32.519,92.519,7.600
3,10,27,1:32.671,92.671,8.563
3,11,23,1:32.646,92.646,9.242
3,12,55,1:32.843,92.843,10.121
3,13,7,1:33.467,93.467,11.622
3,14,11,1:33.173,93.173,12.624
3,15,18,1:33.651,93.651,13.495
3,16,99,1:35.218,95.218,14.270
3,17,26,1:34.286,94.286,14.603
3,18,63,1:34.376,94.376,15.784
3,19,88,1:35.087,95.087,17.920
3,20,8,1:37.851,97.851,73.474
4,1,77,1:31.603,91.603,
4,2,44,1:32.058,92.058,0.818
4,3,16,1:31.639,91.639,2.032
4,4,33,1:31.616,91.616,2.768
4,5,5,1:31.770,91.77,3.636
4,6,10,1:31.656,91.656,4.353
4,7,4,1:32.903,92.903,8.209
4,8,3,1:32.945,92.945,8.942
4,9,27,1:32.902,92.902,9.862
4,10,23,1:32.766,92.766,10.405
4,11,55,1:33.170,93.17,11.688
4,12,7,1:33.440,93.44,13.459
4,13,11,1:33.194,93.194,14.215
4,14,18,1:33.481,93.481,15.373
4,15,26,1:33.599,93.599,16.599
4,16,99,1:35.001,95.001,17.668
4,17,63,1:34.580,94.58,18.761
4,18,88,1:34.890,94.89,21.207
4,19,20,1:49.883,109.883,1 LAP
4,20,8,1:34.350,94.35,76.221
5,1,77,1:31.013,91.013,
5,2,44,1:31.540,91.54,1.345
5,3,16,1:31.888,91.888,2.907
5,4,33,1:31.924,91.924,3.679
5,5,5,1:31.600,91.6,4.223
5,6,10,1:31.844,91.844,5.184
5,7,4,1:32.317,92.317,9.513
5,8,3,1:32.449,92.449,10.378
5,9,27,1:32.596,92.596,11.445
5,10,23,1:32.701,92.701,12.093
5,11,55,1:33.078,93.078,13.753
5,12,11,1:32.748,92.748,15.950
5,13,7,1:34.252,94.252,16.698
5,14,18,1:33.049,93.049,17.409
5,15,26,1:33.139,93.139,18.725
5,16,99,1:33.717,93.717,20.372
5,17,63,1:33.621,93.621,21.369
5,18,88,1:34.469,94.469,24.663
5,19,20,1:33.954,93.954,1 LAP
5,20,8,1:34.711,94.711,79.919
6,1,77,1:31.437,91.437,
6,2,44,1:30.967,90.967,0.875
6,3,16,1:31.506,91.506,2.976
6,4,33,1:31.390,91.39,3.632
6,5,5,1:31.674,91.674,4.460
6,6,10,1:31.709,91.709,5.456
6,7,4,1:33.019,93.019,11.095
6,8,3,1:32.853,92.853,11.794
6,9,27,1:32.913,92.913,12.921
6,10,23,1:32.893,92.893,13.549
6,11,55,1:33.080,93.08,15.396
6,12,11,1:33.465,93.465,17.978
6,13,7,1:33.479,93.479,18.740
6,14,18,1:33.534,93.534,19.506
6,15,26,1:33.671,93.671,20.959
6,16,99,1:33.398,93.398,22.333
6,17,63,1:33.648,93.648,23.580
6,18,88,1:34.282,94.282,27.508
6,19,20,1:33.425,93.425,1 LAP
6,20,8,1:34.696,94.696,83.178
7,1,77,1:30.938,90.938,
7,2,44,1:30.940,90.94,0.877
7,3,16,1:31.306,91.306,3.344
7,4,33,1:31.358,91.358,4.052
7,5,5,1:31.745,91.745,5.267
7,6,10,1:31.625,91.625,6.143
7,7,4,1:32.745,92.745,12.902
7,8,3,1:32.869,92.869,13.725
7,9,27,1:33.089,93.089,15.072
7,10,23,1:33.155,93.155,15.766
7,11,55,1:32.942,92.942,17.400
7,12,11,1:33.256,93.256,20.296
7,13,7,1:33.530,93.53,21.332
7,14,18,1:33.430,93.43,21.998
7,15,26,1:33.084,93.084,23.105
7,16,99,1:33.483,93.483,24.878
7,17,63,1:34.095,94.095,26.737
7,18,88,1:34.675,94.675,31.245
7,19,20,1:36.152,96.152,PIT
7,20,8,1:34.458,94.458,86.698
8,1,77,1:30.891,90.891,
8,2,44,1:30.850,90.85,0.836
