lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,33,1:25.604,85.604,
1,2,44,1:27.403,87.403,1.799
1,3,16,1:28.951,88.951,3.347
1,4,77,1:30.816,90.816,5.212
1,5,5,1:31.081,91.081,5.477
1,6,55,1:31.966,91.966,6.362
1,7,4,1:32.654,92.654,7.050
1,8,7,1:33.222,93.222,7.618
1,9,10,1:33.874,93.874,8.270
1,10,8,1:34.484,94.484,8.880
1,11,27,1:34.904,94.904,9.300
1,12,11,1:35.373,95.373,9.769
1,13,23,1:35.930,95.93,10.326
1,14,63,1:36.267,96.267,10.663
1,15,26,1:36.733,96.733,11.129
1,16,20,1:37.219,97.219,11.615
1,17,18,1:37.634,97.634,12.030
1,18,99,1:38.113,98.113,12.509
1,19,3,1:38.522,98.522,12.918
1,20,88,1:39.312,99.312,13.708
2,1,33,1:21.854,81.854,
2,2,44,1:22.335,82.335,2.280
2,3,16,1:22.767,82.767,4.260
2,4,5,1:22.320,82.32,5.943
2,5,77,1:24.628,84.628,7.986
2,6,55,1:24.830,84.83,9.338
2,7,4,1:24.976,84.976,10.172
2,8,7,1:25.000,85.0,10.764
2,9,10,1:25.097,85.097,11.513
2,10,8,1:25.542,85.542,12.568
2,11,27,1:25.671,85.671,13.117
2,12,11,1:25.940,85.94,13.855
2,13,23,1:26.224,86.224,14.696
2,14,63,1:26.464,86.464,15.273
2,15,26,1:26.681,86.681,15.956
2,16,20,1:26.850,86.85,16.611
2,17,18,1:27.351,87.351,17.527
2,18,99,1:27.351,87.351,18.006
2,19,3,1:27.406,87.406,18.470
2,20,88,1:27.767,87.767,19.621
3,1,33,1:21.863,81.863,
3,2,44,1:21.946,81.946,2.363
3,3,16,1:22.880,82.88,5.277
3,4,5,1:22.481,82.481,6.561
3,5,77,1:24.767,84.767,10.890
3,6,55,1:24.682,84.682,12.157
3,7,4,1:24.602,84.602,12.911
3,8,7,1:24.664,84.664,13.565
3,9,10,1:24.717,84.717,14.367
3,10,8,1:24.559,84.559,15.264
3,11,27,1:25.046,85.046,16.300
3,12,11,1:25.160,85.16,17.152
3,13,23,1:25.251,85.251,18.084
3,14,63,1:25.630,85.63,19.040
3,15,26,1:25.609,85.609,19.702
3,16,20,1:25.877,85.877,20.625
3,17,18,1:25.988,85.988,21.652
3,18,99,1:25.952,85.952,22.095
3,19,3,1:26.084,86.084,22.691
3,20,88,1:26.678,86.678,24.436
4,1,33,1:21.763,81.763,
4,2,44,1:21.646,81.646,2.246
4,3,16,1:22.269,82.269,5.783
4,4,5,1:22.416,82.416,7.214
4,5,77,1:24.627,84.627,13.754
4,6,55,1:24.665,84.665,15.059
4,7,4,1:24.910,84.91,16.058
4,8,7,1:24.877,84.877,16.679
4,9,10,1:24.832,84.832,17.436
4,10,8,1:24.883,84.883,18.384
4,11,27,1:24.783,84.783,19.320
4,12,11,1:24.829,84.829,20.218
4,13,23,1:24.823,84.823,21.144
4,14,63,1:24.793,84.793,22.070
4,15,26,1:24.944,84.944,22.883
4,16,20,1:24.766,84.766,23.628
4,17,18,1:25.065,85.065,24.954
4,18,99,1:25.411,85.411,25.743
