lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,16,1:49.604,109.604,
1,2,44,1:50.683,110.683,1.079
1,3,5,1:51.679,111.679,2.075
1,4,33,1:52.184,112.184,2.580
1,5,77,1:52.860,112.86,3.256
1,6,23,1:53.830,113.83,4.226
1,7,4,1:57.650,117.65,8.046
1,8,99,1:58.280,118.28,8.676
1,9,20,1:58.793,118.793,9.189
1,10,10,1:59.586,119.586,9.982
1,11,7,2:00.020,120.02,10.416
1,12,26,2:00.864,120.864,11.260
1,13,18,2:01.499,121.499,11.895
1,14,11,2:02.205,122.205,12.601
1,15,3,2:02.741,122.741,13.137
1,16,88,2:03.517,123.517,13.913
1,17,8,2:03.877,123.877,14.273
1,18,27,2:04.660,124.66,PIT
1,19,63,2:23.654,143.654,PIT
1,20,55,2:44.711,164.711,PIT
2,1,16,1:48.967,108.967,
2,2,44,1:48.666,108.666,0.778
2,3,5,1:49.025,109.025,2.133
2,4,33,1:49.305,109.305,2.918
2,5,77,1:49.999,109.999,4.288
2,6,23,1:49.682,109.682,4.941
2,7,4,1:49.722,109.722,8.801
2,8,99,1:50.236,110.236,9.945
2,9,20,1:50.762,110.762,10.984
2,10,10,1:50.833,110.833,11.848
2,11,7,1:50.939,110.939,12.388
2,12,26,1:51.077,111.077,13.370
2,13,18,1:51.452,111.452,14.380
2,14,11,1:53.048,113.048,16.682
2,15,3,1:52.791,112.791,16.961
2,16,8,1:52.223,112.223,17.529
2,17,88,1:53.794,113.794,18.740
2,18,27,2:08.475,128.475,34.564
2,19,63,2:19.141,139.141,64.224
3,1,16,1:48.579,108.579,
3,2,44,1:48.806,108.806,1.005
3,3,5,1:48.845,108.845,2.399
3,4,33,1:48.783,108.783,3.122
3,5,77,1:48.632,108.632,4.341
3,6,23,1:49.080,109.08,5.442
3,7,4,1:49.100,109.1,9.322
3,8,99,1:50.098,110.098,11.464
3,9,20,1:50.376,110.376,12.781
3,10,10,1:50.643,110.643,13.912
3,11,7,1:50.595,110.595,14.404
3,12,26,1:50.636,110.636,15.427
3,13,18,1:50.877,110.877,16.678
3,14,3,1:49.614,109.614,17.996
3,15,11,1:52.061,112.061,20.164
3,16,8,1:51.898,111.898,20.848
3,17,88,1:53.279,113.279,23.440
3,18,55,3:08.020,188.02,1 LAP
3,19,27,1:47.992,107.992,33.977
3,20,63,1:48.458,108.458,64.103
4,1,16,1:49.409,109.409,
4,2,44,1:49.082,109.082,0.678
4,3,5,1:49.204,109.204,2.194
4,4,33,1:49.358,109.358,3.071
4,5,77,1:49.175,109.175,4.107
4,6,23,1:49.219,109.219,5.252
4,7,4,1:49.311,109.311,9.224
4,8,99,1:49.647,109.647,11.702
4,9,20,1:50.103,110.103,13.475
4,10,10,1:50.032,110.032,14.535
4,11,7,1:50.258,110.258,15.253
4,12,26,1:50.338,110.338,16.356
4,13,18,1:49.887,109.887,17.156
4,14,3,1:49.404,109.404,17.991
4,15,11,1:49.709,109.709,20.464
4,16,8,1:50.719,110.719,22.158
4,17,88,1:51.581,111.581,25.612
4,18,55,1:49.891,109.891,1 LAP
4,19,27,1:47.539,107.539,32.107
4,20,63,1:48.407,108.407,63.101
5,1,16,1:49.357,109.357,
5,2,44,1:49.560,109.56,0.881
5,3,5,1:49.163,109.163,2.000
5,4,33,1:49.004,109.004,2.718
5,5,77,1:49.254,109.254,4.004
5,6,23,1:50.088,110.088,5.983
5,7,4,1:48.651,108.651,8.518
5,8,99,1:48.995,108.995,11.340
5,9,20,1:49.542,109.542,13.660
5,10,10,1:49.757,109.757,14.935
5,11,7,1:50.073,110.073,15.969
5,12,26,1:49.875,109.875,16.874
5,13,18,1:49.935,109.935,17.734
5,14,3,1:50.190,110.19,18.824
5,15,11,1:49.951,109.951,21.058
5,16,8,1:49.688,109.688,22.489
5,17,88,1:51.062,111.062,27.317
5,18,55,1:51.442,111.442,1 LAP
5,19,27,1:48.645,108.645,31.395
5,20,63,1:48.428,108.428,62.172
6,1,16,1:49.685,109.685,
6,2,44,1:49.759,109.759,0.955
6,3,5,1:49.952,109.952,2.267
6,4,33,1:49.939,109.939,2.972
6,5,77,1:49.755,109.755,4.074
6,6,23,1:48.853,108.853,5.151
6,7,4,1:49.089,109.089,7.922
6,8,99,1:48.967,108.967,10.622
6,9,20,1:49.235,109.235,13.210
6,10,10,1:49.258,109.258,14.508
6,11,7,1:48.973,108.973,15.257
6,12,26,1:49.650,109.65,16.839
6,13,18,1:49.818,109.818,17.867
6,14,3,1:49.688,109.688,18.827
6,15,11,1:49.642,109.642,21.015
6,16,8,1:50.008,110.008,22.812
6,17,88,1:50.708,110.708,28.340
6,18,55,1:50.582,110.582,1 LAP
6,19,27,1:48.564,108.564,30.274
6,20,63,1:48.564,108.564,61.051
7,1,16,1:49.298,109.298,
7,2,44,1:49.179,109.179,0.836
7,3,5,1:49.334,109.334,2.303
7,4,33,1:49.529,109.529,3.203
7,5,77,1:49.203,109.203,3.979
7,6,23,1:49.484,109.484,5.337
7,7,4,1:49.611,109.611,8.235
7,8,99,1:49.459,109.459,10.783
7,9,20,1:49.401,109.401,13.313
7,10,10,1:49.001,109.001,14.211
7,11,7,1:49.402,109.402,15.361
7,12,26,1:49.195,109.195,16.736
7,13,3,1:49.128,109.128,18.657
7,14,18,1:51.090,111.09,19.659
7,15,11,1:49.741,109.741,21.458
7,16,8,1:49.918,109.918,23.432
7,17,88,1:50.714,110.714,29.756
7,18,27,1:49.516,109.516,30.492
7,19,55,1:52.237,112.237,1 LAP
7,20,63,1:48.964,108.964,60.717
8,1,16,1:49.570,109.57,
8,2,44,1:49.607,109.607,0.873
8,3,5,1:49.249,109.249,1.982
8,4,33,1:49.099,109.099,2.732
8,5,77,1:49.356,109.356,3.765
8,6,23,1:49.035,109.035,4.802
8,7,4,1:49.384,109.384,8.049
8,8,99,1:49.214,109.214,10.427
8,9,20,1:49.674,109.674,13.417
8,10,10,1:49.857,109.857,14.498
8,11,7,1:49.710,109.71,15.501
8,12,26,1:49.650,109.65,16.816
8,13,3,1:48.605,108.605,17.692
8,14,18,1:48.858,108.858,18.947
8,15,11,1:48.462,108.462,20.350
8,16,8,1:49.644,109.644,23.506
8,17,27,1:48.495,108.495,29.417
8,18,88,1:52.284,112.284,32.470
8,19,55,1:50.802,110.802,1 LAP
8,20,63,1:49.118,109.118,60.265
9,1,16,1:49.773,109.773,
9,2,44,1:49.937,109.937,1.037
9,3,5,1:49.978,109.978,2.187
9,4,33,1:49.893,109.893,2.852
9,5,77,1:49.326,109.326,3.318
9,6,23,1:49.470,109.47,4.499
9,7,4,1:49.681,109.681,7.957
9,8,99,1:49.449,109.449,10.103
9,9,20,1:49.811,109.811,13.455
9,10,10,1:49.540,109.54,14.265
9,11,7,1:49.459,109.459,15.187
9,12,26,1:49.604,109.604,16.647
9,13,3,1:49.506,109.506,17.425
9,14,18,1:49.163,109.163,18.337
9,15,11,1:49.264,109.264,19.841
9,16,8,1:49.706,109.706,23.439
9,17,27,1:48.037,108.037,27.681
9,18,88,1:50.682,110.682,33.379
9,19,55,1:50.815,110.815,1 LAP
9,20,63,1:49.164,109.164,59.656
10,1,16,1:49.677,109.677,
10,2,44,1:49.744,109.744,1.104
10,3,5,1:49.761,109.761,2.271
10,4,33,1:49.867,109.867,3.042
10,5,77,1:50.269,110.269,3.910
10,6,23,1:50.032,110.032,4.854
10,7,4,1:49.759,109.759,8.039
10,8,99,1:49.667,109.667,10.093
10,9,20,1:49.545,109.545,13.323
10,10,10,1:50.081,110.081,14.669
10,11,7,1:49.883,109.883,15.393
10,12,3,1:52.292,112.292,20.040
10,13,18,1:52.068,112.068,20.728
10,14,26,1:54.629,114.629,21.599
10,15,11,1:51.992,111.992,22.156
10,16,8,1:50.288,110.288,24.050
10,17,27,1:48.215,108.215,26.219
10,18,88,1:50.207,110.207,33.909
10,19,55,1:52.419,112.419,1 LAP
10,20,63,1:49.229,109.229,59.208
11,1,16,1:49.283,109.283,
11,2,44,1:49.566,109.566,1.387
11,3,5,1:49.690,109.69,2.678
11,4,33,1:49.718,109.718,3.477
11,5,77,1:49.709,109.709,4.336
11,6,23,1:49.657,109.657,5.228
11,7,4,1:49.354,109.354,8.110
11,8,99,1:49.562,109.562,10.372
11,9,20,1:49.208,109.208,13.248
11,10,10,1:49.147,109.147,14.533
11,11,7,1:49.412,109.412,15.522
11,12,3,1:48.417,108.417,19.174
11,13,18,1:49.392,109.392,20.837
11,14,11,1:51.100,111.1,23.973
11,15,26,1:52.715,112.715,25.031
11,16,8,1:51.098,111.098,25.865
11,17,27,1:49.767,109.767,26.703
11,18,88,1:50.821,110.821,35.447
11,19,55,1:48.976,108.976,1 LAP
11,20,63,1:48.965,108.965,58.890
12,1,16,1:49.405,109.405,
