lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,16,2:17.550,137.55,
1,2,5,2:20.088,140.088,2.538
1,3,44,2:21.040,141.04,3.490
1,4,77,2:22.327,142.327,4.777
1,5,4,2:25.499,145.499,7.949
1,6,8,2:27.158,147.158,9.608
1,7,20,2:29.294,149.294,11.744
1,8,11,2:30.965,150.965,13.415
1,9,10,2:32.560,152.56,15.010
1,10,18,2:33.516,153.516,15.966
1,11,26,2:35.504,155.504,17.954
1,12,99,2:36.641,156.641,19.091
1,13,23,2:38.022,158.022,20.472
1,14,27,2:38.998,158.998,21.448
1,15,63,2:41.046,161.046,23.496
1,16,88,2:43.210,163.21,25.660
1,17,3,2:45.793,165.793,PIT
1,18,7,2:47.682,167.682,PIT
1,19,55,3:14.682,194.682,PIT
2,1,16,2:59.316,179.316,
2,2,5,2:58.415,178.415,1.637
2,3,44,2:59.080,179.08,3.254
2,4,77,2:59.015,179.015,4.476
2,5,4,2:57.783,177.783,6.416
2,6,8,2:57.387,177.387,7.679
2,7,20,2:56.759,176.759,9.187
2,8,11,2:56.700,176.7,10.799
2,9,10,2:57.729,177.729,13.423
2,10,18,2:58.539,178.539,15.189
2,11,26,2:58.103,178.103,16.741
2,12,99,2:58.487,178.487,18.262
2,13,23,2:59.118,179.118,20.274
2,14,27,2:59.244,179.244,21.376
2,15,63,2:59.793,179.793,23.973
2,16,88,2:58.771,178.771,25.115
2,17,3,2:57.865,177.865,26.792
2,18,7,3:01.672,181.672,PIT
3,1,16,3:02.193,182.193,
3,2,5,3:01.412,181.412,0.856
3,3,44,3:00.668,180.668,1.729
3,4,77,3:00.377,180.377,2.660
3,5,4,2:59.789,179.789,4.012
3,6,8,2:59.924,179.924,5.410
3,7,20,2:59.433,179.433,6.427
3,8,11,2:58.963,178.963,7.569
3,9,10,2:58.991,178.991,10.221
3,10,18,2:58.192,178.192,11.188
3,11,26,2:58.429,178.429,12.977
3,12,99,2:57.885,177.885,13.954
3,13,23,2:57.787,177.787,15.868
3,14,27,2:58.151,178.151,17.334
3,15,63,2:57.357,177.357,19.137
3,16,88,2:57.429,177.429,20.351
3,17,3,2:56.369,176.369,20.968
3,18,7,2:53.331,173.331,23.626
4,1,16,2:53.507,173.507,
4,2,5,2:53.410,173.41,0.759
4,3,44,2:53.126,173.126,1.348
4,4,77,2:52.685,172.685,1.838
4,5,4,2:51.798,171.798,2.303
4,6,8,2:51.103,171.103,3.006
4,7,20,2:50.725,170.725,3.645
4,8,11,2:49.843,169.843,3.905
4,9,10,2:47.745,167.745,4.459
4,10,18,2:47.187,167.187,4.868
4,11,26,2:45.928,165.928,5.398
4,12,99,2:45.464,165.464,5.911
4,13,23,2:44.218,164.218,6.579
4,14,27,2:42.910,162.91,6.737
4,15,63,2:41.768,161.768,7.398
4,16,88,2:40.983,160.983,7.827
4,17,3,2:40.807,160.807,8.268
4,18,7,2:38.657,158.657,8.776
5,1,16,1:49.685,109.685,
5,2,5,1:50.498,110.498,1.572
5,3,44,1:50.799,110.799,2.462
5,4,77,1:51.747,111.747,3.900
5,5,4,1:52.573,112.573,5.191
5,6,8,1:53.210,113.21,6.531
5,7,20,1:53.612,113.612,7.572
5,8,11,1:53.860,113.86,8.080
5,9,10,1:53.821,113.821,8.595
5,10,18,1:54.081,114.081,9.264
5,11,26,1:54.167,114.167,9.880
5,12,99,1:54.219,114.219,10.445
5,13,27,1:53.956,113.956,11.008
5,14,23,1:54.723,114.723,11.617
5,15,63,1:54.692,114.692,12.405
5,16,3,1:54.244,114.244,12.827
5,17,88,1:55.637,115.637,13.779
5,18,7,1:55.297,115.297,14.388
6,1,16,1:49.558,109.558,
6,2,5,1:49.840,109.84,1.854
6,3,44,1:50.170,110.17,3.074
6,4,77,1:50.308,110.308,4.650
6,5,4,1:51.512,111.512,7.145
6,6,8,1:51.641,111.641,8.614
6,7,20,1:52.095,112.095,10.109
6,8,11,1:52.270,112.27,10.792
6,9,10,1:52.475,112.475,11.512
6,10,18,1:52.757,112.757,12.463
6,11,26,1:52.687,112.687,13.009
6,12,99,1:53.030,113.03,13.917
6,13,27,1:53.132,113.132,14.582
6,14,23,1:53.203,113.203,15.262
6,15,3,1:52.615,112.615,15.884
6,16,63,1:54.079,114.079,16.926
6,17,7,1:53.188,113.188,18.018
6,18,88,1:55.171,115.171,19.392
7,1,16,1:49.488,109.488,
7,2,5,1:49.459,109.459,1.825
7,3,44,1:49.960,109.96,3.546
7,4,77,1:50.087,110.087,5.249
7,5,4,1:51.359,111.359,9.016
7,6,8,1:51.347,111.347,10.473
7,7,20,1:52.238,112.238,12.859
7,8,11,1:52.374,112.374,13.678
7,9,10,1:52.508,112.508,14.532
7,10,18,1:52.400,112.4,15.375
7,11,26,1:52.631,112.631,16.152
7,12,99,1:52.583,112.583,17.012
7,13,27,1:52.574,112.574,17.668
7,14,23,1:52.646,112.646,18.420
7,15,3,1:52.921,112.921,19.317
7,16,7,1:52.685,112.685,21.215
7,17,63,1:54.862,114.862,22.300
7,18,88,1:54.315,114.315,24.219
8,1,16,1:49.452,109.452,
8,2,5,1:49.969,109.969,2.342
8,3,44,1:49.511,109.511,3.605
8,4,77,1:50.057,110.057,5.854
8,5,4,1:51.347,111.347,10.911
8,6,8,1:51.372,111.372,12.393
8,7,20,1:52.024,112.024,15.431
8,8,11,1:52.102,112.102,16.328
8,9,10,1:52.155,112.155,17.235
8,10,18,1:52.012,112.012,17.935
8,11,26,1:52.031,112.031,18.731
8,12,99,1:51.888,111.888,19.448
8,13,27,1:51.845,111.845,20.061
8,14,23,1:51.875,111.875,20.843
8,15,3,1:51.762,111.762,21.627
8,16,7,1:52.521,112.521,24.284
8,17,63,1:52.810,112.81,25.658
8,18,88,1:53.307,113.307,28.074
9,1,16,1:50.091,110.091,
9,2,5,1:49.986,109.986,2.237
9,3,44,1:49.678,109.678,3.192
9,4,77,1:50.022,110.022,5.785
9,5,4,1:51.133,111.133,11.953
9,6,8,1:51.400,111.4,13.702
9,7,20,1:52.226,112.226,17.566
9,8,11,1:51.914,111.914,18.151
9,9,10,1:51.718,111.718,18.862
9,10,18,1:51.823,111.823,19.667
9,11,26,1:51.698,111.698,20.338
9,12,99,1:51.626,111.626,20.983
9,13,27,1:51.683,111.683,21.653
9,14,23,1:51.648,111.648,22.400
9,15,3,1:51.723,111.723,23.259
9,16,7,1:51.913,111.913,26.106
9,17,63,1:52.233,112.233,27.800
9,18,88,1:52.615,112.615,30.598
10,1,16,1:49.668,109.668,
10,2,5,1:49.819,109.819,2.388
10,3,44,1:49.858,109.858,3.382
10,4,77,1:49.735,109.735,5.852
10,5,4,1:50.700,110.7,12.985
10,6,8,1:51.145,111.145,15.179
10,7,11,1:50.368,110.368,18.851
10,8,20,1:53.020,113.02,20.918
10,9,10,1:52.403,112.403,21.597
10,10,18,1:52.352,112.352,22.351
10,11,26,1:52.262,112.262,22.932
10,12,99,1:52.265,112.265,23.580
10,13,27,1:52.211,112.211,24.196
