lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,16,1:11.551,71.551,
1,2,77,1:12.813,72.813,1.262
1,3,44,1:13.741,73.741,2.190
1,4,7,1:15.308,75.308,3.757
1,5,4,1:16.040,76.04,4.489
1,6,5,1:16.365,76.365,4.814
1,7,33,1:16.629,76.629,5.078
1,8,10,1:17.049,77.049,5.498
1,9,99,1:17.374,77.374,5.823
1,10,20,1:17.891,77.891,6.340
1,11,11,1:18.250,78.25,6.699
1,12,27,1:18.932,78.932,7.381
1,13,18,1:19.306,79.306,7.755
1,14,3,1:19.673,79.673,8.122
1,15,8,1:20.207,80.207,8.656
1,16,88,1:20.976,80.976,9.425
1,17,55,1:21.198,81.198,9.647
1,18,23,1:21.634,81.634,10.083
1,19,26,1:22.019,82.019,10.468
1,20,63,1:22.907,82.907,11.356
2,1,16,1:09.282,69.282,
2,2,77,1:09.891,69.891,1.871
2,3,44,1:10.327,70.327,3.235
2,4,7,1:10.996,70.996,5.471
2,5,4,1:11.101,71.101,6.308
2,6,5,1:11.290,71.29,6.822
2,7,33,1:11.495,71.495,7.291
2,8,10,1:12.107,72.107,8.323
2,9,99,1:12.571,72.571,9.112
2,10,20,1:12.717,72.717,9.775
2,11,11,1:12.896,72.896,10.313
2,12,27,1:12.885,72.885,10.984
2,13,18,1:13.084,73.084,11.557
2,14,3,1:13.248,73.248,12.088
2,15,8,1:13.318,73.318,12.692
2,16,55,1:12.680,72.68,13.045
2,17,88,1:14.402,74.402,14.545
2,18,23,1:14.112,74.112,14.913
2,19,26,1:14.011,74.011,15.197
2,20,63,1:13.745,73.745,15.819
3,1,16,1:09.407,69.407,
3,2,77,1:09.733,69.733,2.197
3,3,44,1:10.182,70.182,4.010
3,4,7,1:10.409,70.409,6.473
3,5,4,1:10.871,70.871,7.772
3,6,5,1:10.855,70.855,8.270
3,7,33,1:10.999,70.999,8.883
3,8,10,1:10.891,70.891,9.807
3,9,99,1:11.328,71.328,11.033
3,10,20,1:11.813,71.813,12.181
3,11,11,1:11.951,71.951,12.857
3,12,27,1:11.924,71.924,13.501
3,13,18,1:11.958,71.958,14.108
3,14,3,1:11.938,71.938,14.619
3,15,55,1:11.838,71.838,15.476
3,16,8,1:13.164,73.164,16.449
3,17,23,1:11.662,71.662,17.168
3,18,88,1:13.453,73.453,18.591
3,19,26,1:13.045,73.045,18.835
3,20,63,1:13.066,73.066,19.478
4,1,16,1:09.318,69.318,
4,2,77,1:09.492,69.492,2.371
4,3,44,1:09.867,69.867,4.559
4,4,7,1:10.723,70.723,7.878
4,5,5,1:09.828,69.828,8.780
4,6,4,1:11.572,71.572,10.026
4,7,33,1:11.100,71.1,10.665
4,8,10,1:10.798,70.798,11.287
4,9,99,1:10.922,70.922,12.637
4,10,11,1:10.798,70.798,14.337
4,11,20,1:12.658,72.658,15.521
4,12,27,1:11.655,71.655,15.838
4,13,18,1:11.712,71.712,16.502
4,14,3,1:11.696,71.696,16.997
4,15,55,1:11.578,71.578,17.736
4,16,8,1:11.841,71.841,18.972
4,17,23,1:11.566,71.566,19.416
4,18,63,1:11.451,71.451,21.611
4,19,26,1:12.718,72.718,22.235
4,20,88,1:14.519,74.519,23.792
5,1,16,1:09.540,69.54,
5,2,77,1:09.411,69.411,2.242
5,3,44,1:09.611,69.611,4.630
5,4,7,1:10.733,70.733,9.071
5,5,5,1:10.361,70.361,9.601
5,6,4,1:10.970,70.97,11.456
5,7,33,1:10.839,70.839,11.964
5,8,10,1:11.112,71.112,12.859
5,9,99,1:10.976,70.976,14.073
5,10,11,1:11.341,71.341,16.138
5,11,27,1:11.280,71.28,17.578
5,12,20,1:12.614,72.614,18.595
5,13,18,1:12.038,72.038,19.000
5,14,3,1:12.080,72.08,19.537
5,15,55,1:11.903,71.903,20.099
5,16,8,1:11.774,71.774,21.206
5,17,23,1:12.101,72.101,21.977
5,18,63,1:12.067,72.067,24.138
5,19,26,1:12.086,72.086,24.781
5,20,88,1:12.808,72.808,27.060
6,1,16,1:09.406,69.406,
6,2,77,1:09.649,69.649,2.485
6,3,44,1:09.666,69.666,4.890
6,4,5,1:09.522,69.522,9.717
6,5,7,1:11.461,71.461,11.126
6,6,4,1:10.457,70.457,12.507
6,7,33,1:10.436,70.436,12.994
6,8,10,1:10.765,70.765,14.218
6,9,99,1:11.066,71.066,15.733
6,10,11,1:10.969,70.969,17.701
6,11,27,1:11.356,71.356,19.528
6,12,18,1:11.288,71.288,20.882
6,13,20,1:12.767,72.767,21.956
6,14,3,1:12.369,72.369,22.500
6,15,55,1:12.295,72.295,22.988
6,16,8,1:11.962,71.962,23.762
6,17,23,1:11.642,71.642,24.213
6,18,63,1:11.904,71.904,26.636
6,19,26,1:12.088,72.088,27.463
6,20,88,1:12.510,72.51,30.164
7,1,16,1:09.526,69.526,
7,2,77,1:09.628,69.628,2.587
7,3,44,1:09.689,69.689,5.053
7,4,5,1:09.919,69.919,10.110
7,5,7,1:10.724,70.724,12.324
7,6,33,1:09.743,69.743,13.211
7,7,4,1:11.802,71.802,14.783
7,8,10,1:11.094,71.094,15.786
7,9,99,1:11.013,71.013,17.220
7,10,11,1:10.942,70.942,19.117
7,11,27,1:11.298,71.298,21.300
7,12,18,1:11.230,71.23,22.586
7,13,3,1:10.829,70.829,23.803
7,14,20,1:12.831,72.831,25.261
7,15,55,1:12.339,72.339,25.801
7,16,8,1:12.197,72.197,26.433
7,17,23,1:12.330,72.33,27.017
7,18,63,1:12.180,72.18,29.290
7,19,26,1:12.017,72.017,29.954
7,20,88,1:12.483,72.483,33.121
8,1,16,1:09.693,69.693,
8,2,77,1:09.519,69.519,2.413
8,3,44,1:09.724,69.724,5.084
8,4,5,1:10.010,70.01,10.427
8,5,7,1:11.039,71.039,13.670
8,6,33,1:10.574,70.574,14.092
8,7,4,1:10.754,70.754,15.844
8,8,10,1:10.894,70.894,16.987
8,9,99,1:11.216,71.216,18.743
8,10,11,1:10.884,70.884,20.308
8,11,27,1:10.748,70.748,22.355
8,12,18,1:11.001,71.001,23.894
8,13,3,1:11.168,71.168,25.278
8,14,20,1:13.069,73.069,28.637
8,15,55,1:13.051,73.051,29.159
8,16,8,1:12.865,72.865,29.605
8,17,23,1:12.700,72.7,30.024
8,18,63,1:12.208,72.208,31.805
8,19,26,1:12.084,72.084,32.345
8,20,88,1:12.386,72.386,35.814
9,1,16,1:09.438,69.438,
9,2,77,1:09.646,69.646,2.621
9,3,44,1:09.845,69.845,5.491
9,4,5,1:09.800,69.8,10.789
9,5,33,1:09.944,69.944,14.598
9,6,7,1:11.815,71.815,16.047
9,7,4,1:10.875,70.875,17.281
9,8,10,1:11.060,71.06,18.609
9,9,99,1:11.241,71.241,20.546
9,10,11,1:10.814,70.814,21.684
9,11,27,1:10.843,70.843,23.760
9,12,18,1:11.084,71.084,25.540
9,13,3,1:11.221,71.221,27.061
9,14,55,1:11.239,71.239,30.960
9,15,20,1:13.439,73.439,32.638
9,16,8,1:12.973,72.973,33.140
9,17,23,1:12.802,72.802,33.388
9,18,63,1:11.977,71.977,34.344
9,19,26,1:12.141,72.141,35.048
9,20,88,1:12.480,72.48,38.856
10,1,16,1:09.492,69.492,
10,2,77,1:09.839,69.839,2.968
10,3,44,1:09.807,69.807,5.806
10,4,5,1:09.384,69.384,10.681
10,5,33,1:09.871,69.871,14.977
10,6,7,1:11.062,71.062,17.617
10,7,4,1:10.820,70.82,18.609
10,8,10,1:10.792,70.792,19.909
10,9,99,1:10.742,70.742,21.796
10,10,11,1:10.760,70.76,22.952
10,11,27,1:10.867,70.867,25.135
10,12,18,1:10.991,70.991,27.039
10,13,3,1:11.019,71.019,28.588
10,14,55,1:10.912,70.912,32.380
10,15,20,1:12.299,72.299,35.445
10,16,23,1:12.121,72.121,36.017
10,17,8,1:13.286,73.286,36.934
10,18,63,1:12.779,72.779,37.631
10,19,26,1:12.733,72.733,38.289
10,20,88,1:12.422,72.422,41.786
11,1,16,1:09.754,69.754,
11,2,77,1:10.062,70.062,3.276
11,3,44,1:09.956,69.956,6.008
11,4,5,1:09.658,69.658,10.585
11,5,33,1:09.612,69.612,14.835
11,6,7,1:10.633,70.633,18.496
11,7,4,1:10.599,70.599,19.454
11,8,10,1:10.473,70.473,20.628
11,9,99,1:10.622,70.622,22.664
11,10,11,1:10.984,70.984,24.182
11,11,27,1:10.839,70.839,26.220
11,12,18,1:10.596,70.596,27.881
11,13,3,1:10.994,70.994,29.828
11,14,55,1:10.720,70.72,33.346
11,15,23,1:11.989,71.989,38.252
11,16,8,1:11.953,71.953,39.133
11,17,63,1:12.433,72.433,40.310
11,18,20,1:15.060,75.06,PIT
11,19,26,1:12.394,72.394,40.929
11,20,88,1:12.348,72.348,44.380
12,1,16,1:09.621,69.621,
12,2,77,1:10.100,70.1,3.755
12,3,44,1:10.018,70.018,6.405
12,4,5,1:09.475,69.475,10.439
12,5,33,1:09.564,69.564,14.778
12,6,7,1:10.646,70.646,19.521
12,7,4,1:10.555,70.555,20.388
12,8,10,1:10.239,70.239,21.246
12,9,99,1:10.915,70.915,23.958
12,10,11,1:10.808,70.808,25.369
12,11,27,1:10.818,70.818,27.417
12,12,18,1:10.914,70.914,29.174
12,13,3,1:11.003,71.003,31.210
12,14,55,1:10.580,70.58,34.305
12,15,23,1:10.455,70.455,39.086
12,16,8,1:11.170,71.17,40.682
12,17,63,1:11.950,71.95,42.639
12,18,26,1:12.129,72.129,43.437
12,19,88,1:12.305,72.305,47.064
12,20,20,1:30.336,90.336,61.466
13,1,16,1:09.771,69.771,
13,2,77,1:10.030,70.03,4.014
13,3,44,1:09.599,69.599,6.233
13,4,5,1:09.393,69.393,10.061
13,5,33,1:09.744,69.744,14.751
13,6,7,1:11.028,71.028,20.778
13,7,4,1:10.959,70.959,21.576
13,8,10,1:10.784,70.784,22.259
13,9,99,1:10.702,70.702,24.889
13,10,11,1:10.953,70.953,26.551
13,11,27,1:10.913,70.913,28.559
13,12,18,1:10.682,70.682,30.085
13,13,3,1:10.675,70.675,32.114
13,14,55,1:10.437,70.437,34.971
13,15,23,1:10.620,70.62,39.935
13,16,8,1:11.358,71.358,42.269
13,17,63,1:11.507,71.507,44.375
13,18,26,1:11.603,71.603,45.269
13,19,88,1:12.147,72.147,49.440
13,20,20,1:14.896,74.896,PIT
14,1,16,1:09.616,69.616,
14,2,77,1:09.520,69.52,3.918
14,3,44,1:09.724,69.724,6.341
14,4,5,1:09.497,69.497,9.942
14,5,33,1:09.700,69.7,14.835
14,6,4,1:10.417,70.417,22.377
14,7,7,1:11.917,71.917,23.079
14,8,10,1:11.101,71.101,23.744
14,9,99,1:10.863,70.863,26.136
14,10,11,1:10.955,70.955,27.890
14,11,27,1:11.086,71.086,30.029
14,12,18,1:10.957,70.957,31.426
14,13,3,1:10.837,70.837,33.335
14,14,55,1:10.666,70.666,36.021
14,15,23,1:10.469,70.469,40.788
14,16,8,1:11.254,71.254,43.907
14,17,63,1:11.939,71.939,46.698
14,18,26,1:11.722,71.722,47.375
14,19,88,1:12.121,72.121,51.945
15,1,16,1:09.786,69.786,
15,2,77,1:09.544,69.544,3.676
15,3,44,1:09.809,69.809,6.364
15,4,5,1:09.547,69.547,9.703
15,5,20,1:24.223,84.223,1 LAP
15,6,33,1:09.614,69.614,14.663
15,7,4,1:10.685,70.685,23.276
15,8,7,1:10.903,70.903,24.196
15,9,10,1:11.017,71.017,24.975
15,10,99,1:10.795,70.795,27.145
15,11,11,1:10.544,70.544,28.648
15,12,27,1:10.529,70.529,30.772
15,13,18,1:10.777,70.777,32.417
15,14,3,1:10.713,70.713,34.262
15,15,55,1:10.408,70.408,36.643
15,16,23,1:10.299,70.299,41.301
15,17,8,1:11.005,71.005,45.126
15,18,26,1:10.767,70.767,48.356
15,19,63,1:12.867,72.867,49.779
15,20,88,1:12.354,72.354,54.513
16,1,16,1:09.528,69.528,
16,2,77,1:09.574,69.574,3.722
16,3,44,1:09.300,69.3,6.136
16,4,5,1:09.400,69.4,9.575
16,5,20,1:10.917,70.917,1 LAP
16,6,33,1:09.252,69.252,14.387
16,7,4,1:10.160,70.16,23.908
16,8,7,1:10.151,70.151,24.819
16,9,10,1:10.252,70.252,25.699
16,10,99,1:10.538,70.538,28.155
16,11,11,1:10.595,70.595,29.715
16,12,27,1:10.804,70.804,32.048
16,13,18,1:10.661,70.661,33.550
16,14,3,1:10.409,70.409,35.143
16,15,55,1:10.218,70.218,37.333
16,16,23,1:10.359,70.359,42.132
16,17,8,1:10.555,70.555,46.153
16,18,26,1:11.282,71.282,50.110
16,19,63,1:12.251,72.251,52.502
16,20,88,1:12.425,72.425,57.410
17,1,16,1:09.445,69.445,
17,2,77,1:09.436,69.436,3.713
17,3,44,1:09.324,69.324,6.015
17,4,5,1:09.396,69.396,9.526
17,5,33,1:09.304,69.304,14.246
17,6,20,1:12.717,72.717,1 LAP
17,7,4,1:10.003,70.003,24.466
17,8,7,1:10.477,70.477,25.851
17,9,10,1:10.257,70.257,26.511
17,10,99,1:10.462,70.462,29.172
17,11,11,1:10.611,70.611,30.881
17,12,27,1:10.575,70.575,33.178
17,13,18,1:10.743,70.743,34.848
17,14,3,1:10.668,70.668,36.366
17,15,55,1:10.384,70.384,38.272
17,16,23,1:10.226,70.226,42.913
17,17,8,1:10.652,70.652,47.360
17,18,26,1:11.323,71.323,51.988
17,19,63,1:11.806,71.806,54.863
17,20,88,1:12.085,72.085,60.050
18,1,16,1:09.227,69.227,
18,2,77,1:09.755,69.755,4.241
18,3,44,1:09.417,69.417,6.205
18,4,5,1:09.073,69.073,9.372
18,5,33,1:09.217,69.217,14.236
18,6,20,1:10.190,70.19,1 LAP
18,7,4,1:09.914,69.914,25.153
18,8,7,1:10.839,70.839,27.463
18,9,10,1:10.895,70.895,28.179
18,10,99,1:10.793,70.793,30.738
18,11,11,1:10.505,70.505,32.159
18,12,27,1:10.598,70.598,34.549
18,13,18,1:10.584,70.584,36.205
18,14,3,1:10.560,70.56,37.699
18,15,55,1:10.174,70.174,39.219
18,16,23,1:10.923,70.923,44.609
18,17,8,1:10.527,70.527,48.660
18,18,26,1:11.214,71.214,53.975
18,19,63,1:11.574,71.574,57.210
18,20,88,1:11.940,71.94,62.763
19,1,16,1:09.418,69.418,
19,2,77,1:09.910,69.91,4.733
19,3,44,1:09.507,69.507,6.294
19,4,5,1:09.233,69.233,9.187
19,5,33,1:09.234,69.234,14.052
19,6,20,1:10.431,70.431,1 LAP
19,7,4,1:10.146,70.146,25.881
19,8,7,1:10.587,70.587,28.632
19,9,10,1:10.802,70.802,29.563
19,10,99,1:10.384,70.384,31.704
19,11,11,1:10.566,70.566,33.307
19,12,27,1:10.738,70.738,35.869
19,13,18,1:10.751,70.751,37.538
19,14,3,1:10.613,70.613,38.894
19,15,55,1:10.146,70.146,39.947
19,16,23,1:10.360,70.36,45.551
19,17,8,1:10.807,70.807,50.049
19,18,26,1:11.337,71.337,55.894
19,19,63,1:11.375,71.375,59.167
19,20,88,1:16.007,76.007,PIT
20,1,16,1:09.553,69.553,
20,2,77,1:09.440,69.44,4.620
20,3,44,1:09.413,69.413,6.154
20,4,5,1:09.219,69.219,8.853
20,5,33,1:09.273,69.273,13.772
20,6,20,1:10.350,70.35,1 LAP
20,7,4,1:10.261,70.261,26.589
20,8,7,1:10.360,70.36,29.439
20,9,10,1:10.102,70.102,30.112
20,10,99,1:10.576,70.576,32.727
20,11,11,1:10.350,70.35,34.104
20,12,27,1:10.436,70.436,36.752
20,13,18,1:10.583,70.583,38.568
20,14,3,1:10.494,70.494,39.835
20,15,55,1:10.450,70.45,40.844
20,16,23,1:10.584,70.584,46.582
20,17,8,1:10.655,70.655,51.151
20,18,26,1:11.118,71.118,57.459
20,19,63,1:11.244,71.244,60.858
21,1,16,1:09.614,69.614,
21,2,44,1:09.694,69.694,6.234
21,3,77,1:12.674,72.674,PIT
21,4,5,1:12.785,72.785,PIT
21,5,33,1:09.346,69.346,13.504
21,6,88,1:28.118,88.118,1 LAP
21,7,20,1:10.428,70.428,1 LAP
21,8,4,1:10.085,70.085,27.060
21,9,7,1:10.531,70.531,30.356
21,10,10,1:10.680,70.68,31.178
21,11,99,1:10.665,70.665,33.778
21,12,11,1:10.475,70.475,34.965
21,13,27,1:10.574,70.574,37.712
21,14,18,1:10.380,70.38,39.334
21,15,3,1:10.453,70.453,40.674
21,16,55,1:10.206,70.206,41.436
21,17,23,1:10.326,70.326,47.294
21,18,8,1:10.758,70.758,52.295
21,19,26,1:10.668,70.668,58.513
21,20,63,1:11.074,71.074,62.318
22,1,16,1:12.619,72.619,PIT
22,2,44,1:08.842,68.842,2.457
22,3,33,1:09.187,69.187,10.072
22,4,88,1:11.289,71.289,1 LAP
22,5,20,1:10.519,70.519,1 LAP
22,6,77,1:26.584,86.584,21.645
22,7,4,1:10.256,70.256,24.697
22,8,7,1:10.559,70.559,28.296
22,9,10,1:10.750,70.75,29.309
22,10,5,1:30.434,90.434,29.839
22,11,99,1:10.602,70.602,31.761
22,12,11,1:10.713,70.713,33.059
22,13,27,1:10.224,70.224,35.317
22,14,18,1:10.441,70.441,37.156
22,15,3,1:10.620,70.62,38.675
22,16,55,1:10.495,70.495,39.312
22,17,23,1:10.397,70.397,45.072
22,18,8,1:10.634,70.634,50.310
22,19,26,1:10.870,70.87,56.764
22,20,63,1:11.097,71.097,60.796
23,1,44,1:08.932,68.932,
23,2,33,1:09.410,69.41,8.093
23,3,16,1:27.182,87.182,15.793
