lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,5,1:20.816,80.816,
1,2,44,1:22.018,82.018,1.202
1,3,16,1:23.464,83.464,2.648
1,4,3,1:24.280,84.28,3.464
1,5,10,1:25.163,85.163,4.347
1,6,27,1:25.830,85.83,5.014
1,7,77,1:26.523,86.523,5.707
1,8,4,1:28.019,88.019,7.203
1,9,33,1:28.355,88.355,7.539
1,10,26,1:28.760,88.76,7.944
1,11,55,1:29.212,89.212,8.396
1,12,11,1:30.218,90.218,9.402
1,13,99,1:30.799,90.799,9.983
1,14,18,1:31.449,91.449,10.633
1,15,63,1:32.719,92.719,11.903
1,16,88,1:33.207,93.207,12.391
1,17,7,1:33.798,93.798,12.982
1,18,8,1:34.725,94.725,13.909
1,19,20,1:38.531,98.531,17.715
1,20,23,2:06.344,126.344,PIT
2,1,5,1:17.197,77.197,
2,2,44,1:17.587,77.587,1.592
2,3,16,1:17.965,77.965,3.416
2,4,3,1:18.803,78.803,5.070
2,5,10,1:18.634,78.634,5.784
2,6,27,1:18.960,78.96,6.777
2,7,77,1:18.947,78.947,7.457
2,8,4,1:18.788,78.788,8.794
2,9,33,1:19.047,79.047,9.389
2,10,26,1:19.873,79.873,10.620
2,11,55,1:20.193,80.193,11.392
2,12,11,1:19.939,79.939,12.144
2,13,99,1:20.243,80.243,13.029
2,14,18,1:20.275,80.275,13.711
2,15,63,1:20.343,80.343,15.049
2,16,7,1:21.060,81.06,16.845
2,17,88,1:22.219,82.219,17.413
2,18,8,1:21.067,81.067,17.779
2,19,20,1:18.822,78.822,19.340
2,20,23,1:22.732,82.732,51.063
3,1,5,1:16.846,76.846,
3,2,44,1:17.134,77.134,1.880
3,3,16,1:17.009,77.009,3.579
3,4,3,1:17.963,77.963,6.187
3,5,10,1:17.954,77.954,6.892
3,6,27,1:17.663,77.663,7.594
3,7,77,1:18.084,78.084,8.695
3,8,4,1:18.048,78.048,9.996
3,9,33,1:17.922,77.922,10.465
3,10,26,1:19.143,79.143,12.917
3,11,11,1:19.169,79.169,14.467
3,12,99,1:18.859,78.859,15.042
3,13,18,1:18.992,78.992,15.857
3,14,63,1:19.857,79.857,18.060
3,15,7,1:18.808,78.808,18.807
3,16,8,1:20.354,80.354,21.287
3,17,88,1:21.761,81.761,22.328
3,18,20,1:19.954,79.954,22.448
3,19,55,1:35.736,95.736,PIT
3,20,23,1:19.835,79.835,54.052
4,1,5,1:16.833,76.833,
4,2,44,1:16.831,76.831,1.878
4,3,16,1:16.826,76.826,3.572
4,4,3,1:17.488,77.488,6.842
4,5,10,1:17.767,77.767,7.826
4,6,27,1:17.770,77.77,8.531
4,7,77,1:17.583,77.583,9.445
4,8,4,1:18.023,78.023,11.186
4,9,33,1:17.827,77.827,11.459
4,10,26,1:18.964,78.964,15.048
4,11,11,1:18.883,78.883,16.517
4,12,99,1:18.797,78.797,17.006
4,13,18,1:18.609,78.609,17.633
4,14,7,1:19.227,79.227,21.201
4,15,63,1:20.396,80.396,21.623
4,16,8,1:18.963,78.963,23.417
4,17,20,1:19.595,79.595,25.210
4,18,88,1:21.815,81.815,27.310
4,19,55,1:19.956,79.956,33.405
4,20,23,1:19.464,79.464,56.683
5,1,5,1:16.535,76.535,
5,2,44,1:16.805,76.805,2.148
5,3,16,1:16.662,76.662,3.699
5,4,3,1:18.166,78.166,8.473
5,5,10,1:18.045,78.045,9.336
5,6,27,1:17.958,77.958,9.954
5,7,77,1:18.453,78.453,11.363
5,8,4,1:18.450,78.45,13.101
5,9,33,1:18.455,78.455,13.379
5,10,26,1:19.143,79.143,17.656
5,11,11,1:18.843,78.843,18.825
5,12,99,1:18.883,78.883,19.354
5,13,18,1:18.775,78.775,19.873
5,14,7,1:19.067,79.067,23.733
5,15,63,1:20.369,80.369,25.457
5,16,8,1:19.041,79.041,25.923
5,17,20,1:19.323,79.323,27.998
5,18,88,1:20.751,80.751,31.526
5,19,55,1:17.451,77.451,34.321
5,20,23,1:19.100,79.1,59.248
6,1,5,1:16.753,76.753,
6,2,44,1:16.826,76.826,2.221
6,3,16,1:17.600,77.6,4.546
6,4,3,1:17.905,77.905,9.625
6,5,10,1:18.347,78.347,10.930
6,6,27,1:18.981,78.981,12.182
6,7,77,1:18.154,78.154,12.764
6,8,33,1:17.921,77.921,14.547
6,9,4,1:18.972,78.972,15.320
6,10,26,1:19.004,79.004,19.907
6,11,11,1:18.846,78.846,20.918
6,12,18,1:19.044,79.044,22.164
6,13,99,1:20.435,80.435,23.036
6,14,8,1:20.049,80.049,29.219
6,15,63,1:20.926,80.926,29.630
6,16,20,1:19.684,79.684,30.929
6,17,55,1:17.571,77.571,35.139
6,18,88,1:21.414,81.414,36.187
6,19,7,1:37.155,97.155,PIT
6,20,23,1:18.777,78.777,61.272
7,1,5,1:16.654,76.654,
7,2,44,1:16.751,76.751,2.318
7,3,16,1:17.556,77.556,5.448
7,4,3,1:17.966,77.966,10.937
7,5,27,1:18.337,78.337,13.865
7,6,77,1:18.271,78.271,14.381
7,7,33,1:17.928,77.928,15.821
7,8,4,1:19.329,79.329,17.995
7,9,26,1:19.384,79.384,22.637
7,10,11,1:18.955,78.955,23.219
7,11,18,1:19.222,79.222,24.732
7,12,99,1:19.940,79.94,26.322
7,13,10,1:33.794,93.794,PIT
7,14,8,1:19.633,79.633,32.198
7,15,63,1:20.352,80.352,33.328
7,16,20,1:19.489,79.489,33.764
7,17,55,1:18.163,78.163,36.648
7,18,88,1:20.887,80.887,40.420
7,19,7,1:20.887,80.887,48.368
7,20,23,1:18.661,78.661,63.279
8,1,5,1:16.776,76.776,
8,2,44,1:16.783,76.783,2.325
8,3,16,1:17.023,77.023,5.695
8,4,27,1:17.726,77.726,14.815
8,5,77,1:18.654,78.654,16.259
8,6,33,1:17.761,77.761,16.806
8,7,26,1:19.245,79.245,25.106
8,8,11,1:19.125,79.125,25.568
8,9,18,1:18.596,78.596,26.552
8,10,4,1:26.576,86.576,27.795
8,11,3,1:33.910,93.91,PIT
8,12,99,1:19.189,79.189,28.735
8,13,10,1:20.128,80.128,31.422
8,14,8,1:19.611,79.611,35.033
8,15,20,1:20.178,80.178,37.166
8,16,63,1:21.008,81.008,37.560
8,17,55,1:18.338,78.338,38.210
8,18,7,1:18.589,78.589,50.181
8,19,88,1:38.012,98.012,PIT
8,20,23,1:18.535,78.535,65.038
9,1,5,1:16.758,76.758,
9,2,44,1:16.888,76.888,2.455
9,3,16,1:16.868,76.868,5.805
9,4,27,1:17.794,77.794,15.851
9,5,77,1:17.956,77.956,17.457
9,6,33,1:17.891,77.891,17.939
9,7,26,1:19.323,79.323,27.671
9,8,11,1:19.572,79.572,28.382
