lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,44,1:21.953,81.953,
1,2,77,1:22.819,82.819,0.866
1,3,33,1:23.744,83.744,1.791
1,4,5,1:25.115,85.115,3.162
1,5,3,1:26.771,86.771,4.818
1,6,20,1:27.439,87.439,5.486
1,7,10,1:28.830,88.83,6.877
1,8,55,1:29.873,89.873,7.920
1,9,26,1:30.440,90.44,8.487
1,10,23,1:30.930,90.93,8.977
1,11,27,1:31.790,91.79,9.837
1,12,8,1:32.507,92.507,10.554
1,13,4,1:33.112,93.112,11.159
1,14,16,1:33.485,93.485,11.532
1,15,18,1:34.436,94.436,12.483
1,16,11,1:35.251,95.251,13.298
1,17,7,1:35.803,95.803,13.850
1,18,88,1:37.495,97.495,15.542
1,19,99,1:37.837,97.837,15.884
1,20,63,1:38.529,98.529,16.576
2,1,44,1:17.129,77.129,
2,2,77,1:17.436,77.436,1.173
2,3,33,1:17.686,77.686,2.348
2,4,5,1:17.831,77.831,3.864
2,5,3,1:19.901,79.901,7.590
2,6,20,1:20.076,80.076,8.433
2,7,10,1:19.955,79.955,9.703
2,8,55,1:19.954,79.954,10.745
2,9,26,1:20.154,80.154,11.512
2,10,23,1:20.586,80.586,12.434
2,11,27,1:20.625,80.625,13.333
2,12,8,1:20.583,80.583,14.008
2,13,16,1:20.032,80.032,14.435
2,14,4,1:21.330,81.33,15.360
2,15,18,1:21.257,81.257,16.611
2,16,11,1:21.483,81.483,17.652
2,17,7,1:21.477,81.477,18.198
2,18,88,1:22.039,82.039,20.452
2,19,99,1:21.966,81.966,20.721
2,20,63,1:22.439,82.439,21.886
3,1,44,1:16.720,76.72,
3,2,77,1:16.800,76.8,1.253
3,3,33,1:17.064,77.064,2.692
3,4,5,1:17.140,77.14,4.284
3,5,3,1:19.203,79.203,10.073
3,6,20,1:19.102,79.102,10.815
3,7,10,1:19.309,79.309,12.292
3,8,55,1:19.483,79.483,13.508
3,9,26,1:19.694,79.694,14.486
3,10,23,1:19.335,79.335,15.049
3,11,27,1:19.133,79.133,15.746
3,12,8,1:19.319,79.319,16.607
3,13,16,1:19.438,79.438,17.153
3,14,4,1:19.890,79.89,18.530
3,15,18,1:19.884,79.884,19.775
3,16,11,1:20.195,80.195,21.127
3,17,7,1:20.120,80.12,21.598
3,18,88,1:20.355,80.355,24.087
3,19,99,1:20.322,80.322,24.323
3,20,63,1:20.570,80.57,25.736
4,1,44,1:16.355,76.355,
4,2,77,1:16.339,76.339,1.237
4,3,33,1:16.635,76.635,2.972
4,4,5,1:16.906,76.906,4.835
4,5,3,1:19.569,79.569,13.287
4,6,20,1:19.460,79.46,13.920
4,7,10,1:19.557,79.557,15.494
4,8,55,1:19.613,79.613,16.766
4,9,26,1:19.581,79.581,17.712
4,10,23,1:19.611,79.611,18.305
4,11,27,1:19.669,79.669,19.060
4,12,8,1:19.450,79.45,19.702
4,13,16,1:19.350,79.35,20.148
4,14,4,1:19.536,79.536,21.711
4,15,18,1:19.475,79.475,22.895
4,16,11,1:19.139,79.139,23.911
4,17,7,1:19.360,79.36,24.603
4,18,88,1:19.785,79.785,27.517
4,19,99,1:19.883,79.883,27.851
4,20,63,1:19.894,79.894,29.275
5,1,44,1:16.711,76.711,
5,2,77,1:16.776,76.776,1.302
5,3,33,1:16.672,76.672,2.933
5,4,5,1:16.590,76.59,4.714
5,5,3,1:19.458,79.458,16.034
5,6,20,1:19.750,79.75,16.959
5,7,10,1:19.648,79.648,18.431
5,8,55,1:19.545,79.545,19.600
5,9,26,1:19.311,79.311,20.312
5,10,23,1:19.520,79.52,21.114
5,11,27,1:19.629,79.629,21.978
5,12,8,1:19.811,79.811,22.802
5,13,16,1:19.916,79.916,23.353
5,14,4,1:19.840,79.84,24.840
5,15,18,1:19.713,79.713,25.897
5,16,11,1:19.238,79.238,26.438
5,17,7,1:19.187,79.187,27.079
5,18,88,1:19.562,79.562,30.368
5,19,99,1:20.972,80.972,32.112
5,20,63,1:20.278,80.278,32.842
6,1,44,1:16.669,76.669,
6,2,77,1:16.560,76.56,1.193
6,3,33,1:16.585,76.585,2.849
6,4,5,1:16.851,76.851,4.896
6,5,3,1:19.286,79.286,18.651
6,6,20,1:19.322,79.322,19.612
6,7,10,1:19.660,79.66,21.422
6,8,55,1:19.638,79.638,22.569
6,9,26,1:19.792,79.792,23.435
6,10,23,1:19.515,79.515,23.960
6,11,27,1:19.501,79.501,24.810
6,12,8,1:19.164,79.164,25.297
6,13,16,1:19.151,79.151,25.835
6,14,4,1:19.640,79.64,27.811
6,15,18,1:19.739,79.739,28.967
6,16,11,1:19.962,79.962,29.731
6,17,7,1:19.901,79.901,30.311
6,18,88,1:19.777,79.777,33.476
6,19,99,1:18.481,78.481,33.924
6,20,63,1:19.542,79.542,35.715
7,1,44,1:16.459,76.459,
7,2,77,1:16.654,76.654,1.388
7,3,33,1:16.569,76.569,2.959
7,4,5,1:16.278,76.278,4.715
7,5,3,1:19.596,79.596,21.788
7,6,20,1:19.667,79.667,22.820
7,7,10,1:19.626,79.626,24.589
7,8,55,1:19.631,79.631,25.741
7,9,26,1:19.528,79.528,26.504
7,10,23,1:20.089,80.089,27.590
7,11,27,1:20.155,80.155,28.506
7,12,16,1:20.218,80.218,29.594
7,13,8,1:21.658,81.658,30.496
7,14,4,1:19.977,79.977,31.329
7,15,18,1:19.679,79.679,32.187
7,16,11,1:19.698,79.698,32.970
7,17,7,1:19.765,79.765,33.617
7,18,88,1:19.970,79.97,36.987
7,19,99,1:20.276,80.276,37.741
7,20,63,1:20.498,80.498,39.754
8,1,44,1:16.298,76.298,
8,2,77,1:16.307,76.307,1.397
8,3,33,1:16.377,76.377,3.038
8,4,5,1:16.541,76.541,4.958
8,5,3,1:20.113,80.113,25.603
8,6,20,1:20.155,80.155,26.677
8,7,10,1:19.851,79.851,28.142
8,8,55,1:19.856,79.856,29.299
8,9,26,1:19.779,79.779,29.985
8,10,23,1:20.259,80.259,31.551
8,11,27,1:20.446,80.446,32.654
8,12,8,1:19.938,79.938,34.136
8,13,16,1:22.280,82.28,35.576
8,14,4,1:20.967,80.967,35.998
8,15,18,1:20.380,80.38,36.269
8,16,11,1:19.828,79.828,36.500
8,17,7,1:20.547,80.547,37.866
8,18,88,1:19.985,79.985,40.674
8,19,99,1:19.968,79.968,41.411
8,20,63,1:20.243,80.243,43.699
9,1,44,1:16.167,76.167,
9,2,77,1:16.146,76.146,1.376
9,3,33,1:16.229,76.229,3.100
9,4,5,1:16.277,76.277,5.068
9,5,3,1:20.184,80.184,29.620
9,6,20,1:20.319,80.319,30.829
9,7,10,1:20.539,80.539,32.514
9,8,55,1:20.589,80.589,33.721
9,9,26,1:20.821,80.821,34.639
9,10,23,1:20.702,80.702,36.086
9,11,8,1:19.742,79.742,37.711
9,12,4,1:25.256,85.256,45.087
9,13,18,1:25.549,85.549,45.651
9,14,11,1:26.055,86.055,46.388
9,15,7,1:25.232,85.232,46.931
9,16,88,1:23.336,83.336,47.843
9,17,99,1:23.078,83.078,48.322
9,18,63,1:22.651,82.651,50.183
9,19,27,1:47.635,107.635,PIT
9,20,16,1:57.179,117.179,PIT
10,1,44,1:17.234,77.234,
10,2,77,1:16.988,76.988,1.130
10,3,33,1:16.920,76.92,2.786
10,4,5,1:16.659,76.659,4.493
10,5,3,1:23.289,83.289,35.675
10,6,20,1:23.749,83.749,37.344
10,7,10,1:23.290,83.29,38.570
10,8,55,1:24.781,84.781,41.268
10,9,26,1:25.166,85.166,42.571
10,10,23,1:27.226,87.226,46.078
10,11,8,1:28.290,88.29,48.767
10,12,4,1:26.784,86.784,54.637
10,13,18,1:27.910,87.91,56.327
10,14,11,1:27.824,87.824,56.978
10,15,7,1:28.718,88.718,58.415
10,16,88,1:29.434,89.434,60.043
10,17,99,1:29.751,89.751,60.839
10,18,27,1:36.009,96.009,82.897
10,19,63,1:50.285,110.285,PIT
10,20,16,1:45.588,105.588,104.942
11,1,44,1:49.838,109.838,PIT
11,2,33,1:55.101,115.101,PIT
11,3,77,1:57.137,117.137,PIT
11,4,5,1:54.374,114.374,PIT
11,5,10,1:50.568,110.568,39.300
11,6,55,1:48.884,108.884,40.314
11,7,26,1:49.049,109.049,41.782
11,8,23,1:47.549,107.549,43.789
11,9,8,1:45.811,105.811,44.740
11,10,4,1:44.931,104.931,49.730
11,11,18,1:44.811,104.811,51.300
11,12,3,2:05.595,125.595,PIT
11,13,7,1:44.420,104.42,52.997
11,14,20,2:05.580,125.58,PIT
11,15,88,1:44.701,104.701,54.906
11,16,99,1:44.693,104.693,55.694
11,17,11,2:03.212,123.212,PIT
11,18,27,1:44.543,104.543,77.602
11,19,63,1:45.404,105.404,78.800
11,20,16,1:42.902,102.902,98.006
12,1,44,1:59.343,119.343,
12,2,33,1:52.233,112.233,0.939
12,3,5,1:52.768,112.768,2.454
12,4,77,2:06.558,126.558,PIT
12,5,10,1:42.321,102.321,22.278
12,6,55,1:42.277,102.277,23.248
12,7,26,1:42.864,102.864,25.303
12,8,23,1:42.453,102.453,26.899
12,9,8,1:43.226,103.226,28.623
12,10,4,1:39.698,99.698,30.085
12,11,18,1:39.282,99.282,31.239
12,12,7,1:38.452,98.452,32.106
12,13,3,1:41.710,101.71,33.799
12,14,20,1:40.944,100.944,34.687
12,15,88,1:40.110,100.11,35.673
12,16,99,1:40.039,100.039,36.390
12,17,11,1:33.154,93.154,44.163
12,18,27,1:27.614,87.614,45.873
12,19,63,1:27.644,87.644,47.101
12,20,16,1:26.928,86.928,65.591
13,1,44,1:52.047,112.047,
13,2,33,1:52.130,112.13,1.022
13,3,5,1:53.091,113.091,3.498
13,4,77,1:40.747,100.747,4.344
13,5,10,1:35.834,95.834,6.065
