lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,16,1:26.573,86.573,
1,2,44,1:27.298,87.298,0.725
1,3,77,1:28.001,88.001,1.428
1,4,27,1:29.232,89.232,2.659
1,5,5,1:29.463,89.463,2.890
1,6,3,1:30.436,90.436,3.863
1,7,18,1:31.372,91.372,4.799
1,8,55,1:31.738,91.738,5.165
1,9,23,1:32.337,92.337,5.764
1,10,99,1:32.702,92.702,6.129
1,11,20,1:33.363,93.363,6.790
1,12,26,1:33.839,93.839,7.266
1,13,88,1:34.659,94.659,8.086
1,14,10,1:34.820,94.82,8.247
1,15,63,1:35.318,95.318,8.745
1,16,8,1:35.756,95.756,9.183
1,17,11,1:36.200,96.2,9.627
1,18,4,1:36.586,96.586,10.013
1,19,7,1:37.442,97.442,10.869
1,20,33,1:41.132,101.132,PIT
2,1,16,1:25.194,85.194,
2,2,44,1:25.433,85.433,0.964
2,3,77,1:25.586,85.586,1.820
2,4,5,1:25.527,85.527,3.223
2,5,27,1:26.920,86.92,4.385
2,6,3,1:26.483,86.483,5.152
2,7,18,1:26.502,86.502,6.107
2,8,55,1:26.935,86.935,6.906
2,9,23,1:26.843,86.843,7.413
2,10,99,1:27.258,87.258,8.193
2,11,20,1:27.354,87.354,8.950
2,12,26,1:27.262,87.262,9.334
2,13,10,1:27.440,87.44,10.493
2,14,88,1:28.801,88.801,11.693
2,15,63,1:28.634,88.634,12.185
2,16,8,1:28.943,88.943,12.932
2,17,11,1:28.982,88.982,13.415
2,18,4,1:29.069,89.069,13.888
2,19,7,1:28.920,88.92,14.595
2,20,33,1:51.395,111.395,40.760
3,1,16,1:24.954,84.954,
3,2,44,1:25.000,85.0,1.010
3,3,77,1:25.135,85.135,2.001
3,4,5,1:25.122,85.122,3.391
3,5,27,1:26.026,86.026,5.457
3,6,3,1:26.108,86.108,6.306
3,7,18,1:26.248,86.248,7.401
3,8,55,1:27.600,87.6,9.552
3,9,99,1:27.150,87.15,10.389
3,10,20,1:26.926,86.926,10.922
3,11,23,1:29.103,89.103,11.562
3,12,26,1:27.708,87.708,12.088
3,13,10,1:27.313,87.313,12.852
3,14,88,1:28.233,88.233,14.972
3,15,63,1:28.190,88.19,15.421
3,16,11,1:27.504,87.504,15.965
3,17,8,1:28.722,88.722,16.700
3,18,4,1:28.408,88.408,17.342
3,19,7,1:27.777,87.777,17.418
3,20,33,1:24.532,84.532,40.338
4,1,16,1:24.949,84.949,
4,2,44,1:25.151,85.151,1.212
4,3,77,1:25.158,85.158,2.210
4,4,5,1:24.930,84.93,3.372
4,5,27,1:26.031,86.031,6.539
4,6,3,1:25.549,85.549,6.906
4,7,18,1:26.101,86.101,8.553
