lap_no,position,driver_no,lap_time,lap_time_sec,gap
1,1,5,2:05.203,125.203,
1,2,16,2:06.802,126.802,1.599
1,3,44,2:09.204,129.204,4.001
1,4,55,2:11.367,131.367,6.164
1,5,77,2:12.231,132.231,7.028
1,6,4,2:14.148,134.148,8.945
1,7,11,2:15.556,135.556,10.353
1,8,33,2:16.368,136.368,11.165
1,9,27,2:18.577,138.577,13.374
1,10,20,2:20.087,140.087,14.884
1,11,18,2:21.626,141.626,16.423
1,12,99,2:22.676,142.676,17.473
1,13,10,2:25.016,145.016,19.813
1,14,26,2:26.264,146.264,21.061
1,15,7,2:27.747,147.747,22.544
1,16,63,2:30.477,150.477,25.274
1,17,88,2:30.807,150.807,PIT
1,18,23,2:31.820,151.82,26.617
1,19,3,3:18.117,198.117,PIT
2,1,5,2:41.801,161.801,
2,2,16,2:41.475,161.475,1.273
2,3,44,2:39.901,159.901,2.101
2,4,55,2:39.120,159.12,3.483
2,5,77,2:39.655,159.655,4.882
2,6,4,2:39.464,159.464,6.608
2,7,11,2:40.060,160.06,8.612
2,8,33,2:40.141,160.141,9.505
2,9,27,2:39.192,159.192,10.765
2,10,20,2:38.567,158.567,11.650
2,11,18,2:38.927,158.927,13.549
2,12,10,2:37.583,157.583,15.595
2,13,99,2:40.942,160.942,PIT
2,14,26,2:37.489,157.489,16.749
2,15,7,2:36.923,156.923,17.666
2,16,63,2:34.635,154.635,18.108
2,17,23,2:35.392,155.392,20.208
2,18,88,2:38.873,158.873,PIT
2,19,3,2:19.744,139.744,50.857
3,1,5,2:42.624,162.624,
3,2,16,2:42.239,162.239,0.888
3,3,44,2:42.092,162.092,1.569
3,4,55,2:41.188,161.188,2.047
3,5,77,2:40.391,160.391,2.649
3,6,4,2:39.062,159.062,3.046
3,7,11,2:37.549,157.549,3.537
3,8,33,2:37.050,157.05,3.931
3,9,27,2:36.410,156.41,4.551
3,10,20,2:35.925,155.925,4.951
3,11,18,2:34.856,154.856,5.781
3,12,10,2:33.331,153.331,6.302
3,13,26,2:32.965,152.965,7.090
3,14,7,2:33.523,153.523,8.565
3,15,63,2:34.024,154.024,9.508
3,16,23,2:32.334,152.334,9.918
3,17,88,2:30.282,150.282,10.334
3,18,99,2:36.726,156.726,10.716
3,19,3,2:02.843,122.843,11.076
4,1,5,1:39.750,99.75,
4,2,16,1:40.021,100.021,1.159
4,3,44,1:41.051,101.051,2.870
4,4,55,1:42.085,102.085,4.382
4,5,77,1:42.444,102.444,5.343
4,6,4,1:43.348,103.348,6.644
4,7,11,1:43.520,103.52,7.307
4,8,33,1:43.699,103.699,7.880
4,9,20,1:43.580,103.58,8.781
