lap_no,position,driver_no,lap_time,lap_time_sec,gap
4,10,27,1:44.614,104.614,9.415
4,11,18,1:44.281,104.281,10.312
4,12,10,1:44.367,104.367,10.919
4,13,26,1:44.296,104.296,11.636
4,14,7,1:43.565,103.565,12.380
4,15,23,1:42.745,102.745,12.913
4,16,63,1:44.890,104.89,14.648
4,17,99,1:44.655,104.655,15.621
4,18,3,1:45.139,105.139,16.465
4,19,88,1:46.621,106.621,17.205
5,1,5,1:39.593,99.593,
5,2,16,1:39.784,99.784,1.350
5,3,44,1:40.125,100.125,3.402
5,4,55,1:41.694,101.694,6.483
5,5,77,1:41.673,101.673,7.423
5,6,4,1:42.437,102.437,9.488
5,7,11,1:42.686,102.686,10.400
5,8,33,1:42.690,102.69,10.977
5,9,20,1:43.134,103.134,12.322
5,10,27,1:42.978,102.978,12.800
5,11,18,1:43.340,103.34,14.059
5,12,10,1:43.504,103.504,14.830
5,13,26,1:44.083,104.083,16.126
5,14,7,1:44.145,104.145,16.932
5,15,23,1:44.255,104.255,17.575
5,16,63,1:43.710,103.71,18.765
5,17,99,1:43.679,103.679,19.707
5,18,3,1:43.836,103.836,20.708
5,19,88,1:45.087,105.087,22.699
6,1,5,1:39.350,99.35,
6,2,16,1:39.376,99.376,1.376
6,3,44,1:39.968,99.968,4.020
6,4,55,1:41.696,101.696,8.829
6,5,77,1:41.494,101.494,9.567
6,6,4,1:42.010,102.01,12.148
6,7,11,1:41.890,101.89,12.940
6,8,33,1:42.000,102.0,13.627
6,9,27,1:42.319,102.319,15.769
6,10,20,1:45.029,105.029,18.001
6,11,18,1:44.335,104.335,19.044
6,12,10,1:44.107,104.107,19.587
6,13,26,1:43.653,103.653,20.429
6,14,7,1:43.456,103.456,21.038
6,15,23,1:43.272,103.272,21.497
6,16,63,1:43.306,103.306,22.721
6,17,99,1:43.243,103.243,23.600
6,18,3,1:42.854,102.854,24.212
6,19,88,1:44.298,104.298,27.647
7,1,5,1:39.396,99.396,
7,2,16,1:39.392,99.392,1.372
7,3,44,1:39.581,99.581,4.205
7,4,77,1:40.531,100.531,10.702
7,5,55,1:43.251,103.251,12.684
7,6,4,1:42.290,102.29,15.042
7,7,11,1:42.411,102.411,15.955
7,8,33,1:42.225,102.225,16.456
7,9,27,1:42.053,102.053,18.426
7,10,20,1:42.636,102.636,21.241
7,11,18,1:42.880,102.88,22.528
7,12,10,1:43.034,103.034,23.225
7,13,26,1:43.083,103.083,24.116
7,14,7,1:43.393,103.393,25.035
7,15,23,1:43.486,103.486,25.587
7,16,63,1:43.451,103.451,26.776
7,17,3,1:44.166,104.166,28.982
7,18,99,1:45.679,105.679,29.883
7,19,88,1:45.513,105.513,33.764
8,1,5,1:39.221,99.221,
8,2,16,1:39.535,99.535,1.686
8,3,44,1:39.382,99.382,4.366
8,4,77,1:39.838,99.838,11.319
8,5,55,1:41.446,101.446,14.909
8,6,4,1:41.989,101.989,17.810
8,7,33,1:41.746,101.746,18.981
8,8,11,1:43.434,103.434,20.168
8,9,27,1:41.698,101.698,20.903
8,10,20,1:42.107,102.107,24.127
8,11,18,1:42.248,102.248,25.555
8,12,10,1:42.330,102.33,26.334
8,13,26,1:42.281,102.281,27.176
8,14,7,1:42.197,102.197,28.011
8,15,23,1:42.190,102.19,28.556
8,16,63,1:43.121,103.121,30.676
8,17,3,1:42.612,102.612,32.373
8,18,99,1:43.120,103.12,33.782
8,19,88,1:44.419,104.419,38.962
9,1,5,1:39.016,99.016,
9,2,16,1:39.279,99.279,1.949
9,3,44,1:39.191,99.191,4.541
9,4,77,1:39.282,99.282,11.585
9,5,55,1:41.188,101.188,17.081
9,6,4,1:41.520,101.52,20.314
9,7,33,1:41.394,101.394,21.359
9,8,11,1:41.622,101.622,22.774
9,9,27,1:41.671,101.671,23.558
9,10,20,1:42.082,102.082,27.193
9,11,18,1:42.005,102.005,28.544
9,12,10,1:42.092,102.092,29.410
9,13,26,1:42.183,102.183,30.343
9,14,23,1:42.066,102.066,31.606
9,15,63,1:42.831,102.831,34.491
9,16,3,1:42.289,102.289,35.646
9,17,7,1:46.854,106.854,PIT
9,18,99,1:42.907,102.907,37.673
9,19,88,1:44.102,104.102,44.048
10,1,5,1:39.047,99.047,
10,2,16,1:39.262,99.262,2.164
10,3,44,1:40.325,100.325,5.819
10,4,77,1:39.632,99.632,12.170
10,5,55,1:41.133,101.133,19.167
10,6,4,1:41.377,101.377,22.644
10,7,33,1:41.179,101.179,23.491
10,8,11,1:41.418,101.418,25.145
10,9,27,1:41.467,101.467,25.978
10,10,20,1:42.118,102.118,30.264
10,11,18,1:42.056,102.056,31.553
10,12,10,1:42.053,102.053,32.416
10,13,26,1:42.012,102.012,33.308
10,14,23,1:41.372,101.372,33.931
10,15,63,1:42.426,102.426,37.870
10,16,3,1:42.643,102.643,39.242
10,17,99,1:42.487,102.487,41.113
10,18,88,1:43.915,103.915,48.916
10,19,7,1:57.143,117.143,53.945
11,1,5,1:38.844,98.844,
11,2,16,1:39.406,99.406,2.726
11,3,44,1:39.335,99.335,6.310
11,4,77,1:39.795,99.795,13.121
11,5,55,1:41.281,101.281,21.604
11,6,4,1:41.187,101.187,24.987
11,7,33,1:41.041,101.041,25.688
11,8,11,1:41.030,101.03,27.331
11,9,27,1:41.108,101.108,28.242
11,10,20,1:42.072,102.072,33.492
11,11,18,1:41.825,101.825,34.534
11,12,10,1:41.835,101.835,35.407
11,13,26,1:41.803,101.803,36.267
11,14,23,1:41.681,101.681,36.768
11,15,63,1:42.813,102.813,41.839
11,16,3,1:42.740,102.74,43.138
11,17,99,1:42.602,102.602,44.871
11,18,88,1:43.534,103.534,53.606
11,19,7,1:42.003,102.003,57.104
12,1,5,1:38.820,98.82,
12,2,16,1:39.253,99.253,3.159
12,3,44,1:39.246,99.246,6.736
12,4,77,1:39.527,99.527,13.828
12,5,55,1:41.145,101.145,23.929
12,6,33,1:40.308,100.308,27.176
12,7,4,1:43.258,103.258,29.425
12,8,11,1:41.984,101.984,30.495
12,9,27,1:41.899,101.899,31.321
12,10,20,1:41.723,101.723,36.395
12,11,18,1:41.984,101.984,37.698
12,12,10,1:41.930,101.93,38.517
12,13,26,1:42.023,102.023,39.470
12,14,23,1:42.087,102.087,40.035
12,15,63,1:42.568,102.568,45.587
12,16,3,1:42.415,102.415,46.733
12,17,99,1:42.490,102.49,48.541
12,18,88,1:43.378,103.378,58.164
12,19,7,1:42.117,102.117,60.401
13,1,5,1:38.543,98.543,
13,2,16,1:38.868,98.868,3.484
13,3,44,1:38.630,98.63,6.823
13,4,77,1:38.806,98.806,14.091
13,5,55,1:40.862,100.862,26.248
13,6,33,1:40.025,100.025,28.658
13,7,4,1:41.256,101.256,32.138
13,8,11,1:41.384,101.384,33.336
13,9,27,1:41.303,101.303,34.081
13,10,20,1:41.580,101.58,39.432
13,11,18,1:41.788,101.788,40.943
13,12,10,1:41.802,101.802,41.776
13,13,26,1:41.731,101.731,42.658
13,14,23,1:41.677,101.677,43.169
13,15,63,1:42.309,102.309,49.353
13,16,3,1:42.269,102.269,50.459
13,17,99,1:42.436,102.436,52.434
13,18,88,1:43.307,103.307,62.928
13,19,7,1:42.118,102.118,63.976
14,1,5,1:38.534,98.534,
14,2,16,1:38.722,98.722,3.672
14,3,44,1:38.533,98.533,6.822
14,4,77,1:38.903,98.903,14.460
14,5,55,1:41.028,101.028,28.742
14,6,33,1:40.097,100.097,30.221
14,7,4,1:40.896,100.896,34.500
14,8,27,1:40.249,100.249,35.796
14,9,11,1:42.031,102.031,36.833
14,10,20,1:41.246,101.246,42.144
14,11,18,1:41.660,101.66,44.069
14,12,10,1:41.709,101.709,44.951
14,13,26,1:41.802,101.802,45.926
14,14,23,1:41.967,101.967,46.602
14,15,63,1:42.244,102.244,53.063
14,16,3,1:42.402,102.402,54.327
14,17,99,1:42.082,102.082,55.982
14,18,88,1:43.586,103.586,67.980
14,19,7,1:43.099,103.099,68.541
15,1,5,1:38.538,98.538,
15,2,16,1:38.525,98.525,3.659
15,3,44,1:38.319,98.319,6.603
15,4,77,1:38.962,98.962,14.884
15,5,55,1:40.882,100.882,31.086
15,6,33,1:40.427,100.427,32.110
15,7,4,1:40.954,100.954,36.916
15,8,27,1:40.745,100.745,38.003
15,9,11,1:41.193,101.193,39.488
15,10,20,1:41.135,101.135,44.741
15,11,18,1:41.224,101.224,46.755
15,12,10,1:41.444,101.444,47.857
15,13,26,1:41.398,101.398,48.786
15,14,23,1:41.376,101.376,49.440
15,15,63,1:42.410,102.41,56.935
15,16,3,1:42.081,102.081,57.870
15,17,99,1:42.143,102.143,59.587
15,18,7,1:41.128,101.128,71.131
15,19,88,1:44.686,104.686,74.128
16,1,5,1:38.245,98.245,
16,2,16,1:38.572,98.572,3.986
16,3,44,1:38.501,98.501,6.859
16,4,77,1:38.785,98.785,15.424
16,5,55,1:40.789,100.789,33.630
16,6,33,1:40.514,100.514,34.379
16,7,4,1:40.789,100.789,39.460
16,8,11,1:40.957,100.957,42.200
16,9,27,1:45.342,105.342,PIT
16,10,20,1:41.109,101.109,47.605
16,11,18,1:41.319,101.319,49.829
16,12,10,1:41.709,101.709,51.321
16,13,26,1:41.746,101.746,52.287
16,14,23,1:41.860,101.86,53.055
16,15,63,1:42.722,102.722,61.412
16,16,3,1:42.805,102.805,62.430
16,17,99,1:42.174,102.174,63.516
16,18,7,1:41.740,101.74,74.626
16,19,88,1:43.360,103.36,79.243
17,1,5,1:38.657,98.657,
17,2,16,1:38.532,98.532,3.861
17,3,44,1:38.992,98.992,7.194
17,4,77,1:39.207,99.207,15.974
17,5,33,1:39.449,99.449,35.171
17,6,55,1:42.512,102.512,37.485
17,7,4,1:40.640,100.64,41.443
17,8,11,1:40.739,100.739,44.282
17,9,20,1:41.111,101.111,50.059
17,10,18,1:40.981,100.981,52.153
17,11,10,1:41.373,101.373,54.037
17,12,23,1:40.598,100.598,54.996
17,13,26,1:42.217,102.217,55.847
17,14,63,1:41.784,101.784,64.539
17,15,3,1:42.248,102.248,66.021
17,16,99,1:42.544,102.544,67.403
17,17,27,2:04.557,124.557,71.000
17,18,7,1:41.309,101.309,77.278
17,19,88,1:43.070,103.07,83.656
18,1,5,1:38.394,98.394,
18,2,16,1:38.441,98.441,3.908
18,3,44,1:38.384,98.384,7.184
18,4,77,1:39.698,99.698,17.278
18,5,33,1:39.476,99.476,36.253
18,6,55,1:40.697,100.697,39.788
18,7,4,1:40.448,100.448,43.497
18,8,11,1:40.347,100.347,46.235
18,9,20,1:40.790,100.79,52.455
18,10,18,1:40.920,100.92,54.679
18,11,10,1:41.469,101.469,57.112
18,12,23,1:41.239,101.239,57.841
18,13,26,1:41.463,101.463,58.916
18,14,63,1:41.705,101.705,67.850
18,15,3,1:41.979,101.979,69.606
18,16,99,1:41.950,101.95,70.959
18,17,27,1:40.096,100.096,72.702
18,18,7,1:41.088,101.088,79.972
18,19,88,1:42.833,102.833,88.095
19,1,5,1:38.536,98.536,
19,2,16,1:38.769,98.769,4.141
19,3,44,1:38.491,98.491,7.139
19,4,77,1:39.271,99.271,18.013
19,5,33,1:39.474,99.474,37.191
19,6,55,1:40.430,100.43,41.682
19,7,4,1:40.368,100.368,45.329
19,8,11,1:40.415,100.415,48.114
19,9,20,1:40.821,100.821,54.740
19,10,18,1:40.841,100.841,56.984
19,11,10,1:41.592,101.592,60.168
19,12,23,1:41.765,101.765,61.070
19,13,26,1:41.573,101.573,61.953
19,14,63,1:41.958,101.958,71.272
19,15,3,1:41.380,101.38,72.450
19,16,99,1:41.413,101.413,73.836
19,17,27,1:40.286,100.286,74.452
19,18,7,1:41.275,101.275,82.711
19,19,88,1:43.060,103.06,92.619
20,1,5,1:38.464,98.464,
20,2,16,1:38.710,98.71,4.387
20,3,44,1:38.500,98.5,7.175
20,4,77,1:39.314,99.314,18.863
20,5,33,1:39.408,99.408,38.135
20,6,55,1:40.364,100.364,43.582
20,7,11,1:40.223,100.223,49.873
20,8,4,1:45.196,105.196,PIT
20,9,20,1:40.849,100.849,57.125
20,10,18,1:40.597,100.597,59.117
20,11,10,1:40.952,100.952,62.656
20,12,23,1:41.326,101.326,63.932
20,13,26,1:41.493,101.493,64.982
20,14,63,1:41.973,101.973,74.781
20,15,3,1:41.999,101.999,75.985
20,16,27,1:41.161,101.161,77.149
20,17,99,1:44.192,104.192,79.564
20,18,7,1:41.442,101.442,85.689
20,19,88,1:43.192,103.192,97.347
21,1,5,1:38.932,98.932,
21,2,16,1:38.776,98.776,4.231
21,3,44,1:38.541,98.541,6.784
21,4,77,1:38.843,98.843,18.774
21,5,33,1:39.658,99.658,38.861
21,6,55,1:45.094,105.094,PIT
21,7,11,1:40.068,100.068,51.009
21,8,20,1:40.804,100.804,58.997
21,9,18,1:40.784,100.784,60.969
21,10,10,1:40.927,100.927,64.651
21,11,23,1:40.723,100.723,65.723
21,12,26,1:41.346,101.346,67.396
21,13,4,1:59.793,119.793,72.922
21,14,63,1:41.738,101.738,77.587
21,15,27,1:40.803,100.803,79.020
21,16,3,1:43.861,103.861,80.914
21,17,99,1:42.297,102.297,82.929
21,18,7,1:41.183,101.183,87.940
22,1,5,1:39.247,99.247,
22,2,88,1:44.482,104.482,1 LAP
22,3,44,1:38.743,98.743,6.280
22,4,16,1:44.260,104.26,PIT
22,5,77,1:38.842,98.842,18.369
22,6,33,1:39.515,99.515,39.129
22,7,11,1:39.922,99.922,51.684
22,8,20,1:40.789,100.789,60.539
22,9,18,1:40.812,100.812,62.534
22,10,10,1:40.695,100.695,66.099
22,11,23,1:40.538,100.538,67.014
22,12,26,1:40.858,100.858,69.007
22,13,55,2:00.836,120.836,71.333
22,14,4,1:40.739,100.739,74.414
22,15,27,1:39.989,99.989,79.762
22,16,63,1:42.893,102.893,81.233
22,17,3,1:41.284,101.284,82.951
22,18,99,1:41.749,101.749,85.431
22,19,7,1:41.454,101.454,90.147
23,1,5,1:38.843,98.843,
23,2,44,1:38.836,98.836,6.273
23,3,88,1:44.095,104.095,1 LAP
23,4,77,1:38.848,98.848,18.374
23,5,16,1:57.786,117.786,28.187
23,6,33,1:39.605,99.605,39.891
23,7,11,1:44.128,104.128,PIT
23,8,20,1:40.572,100.572,62.268
23,9,18,1:40.678,100.678,64.369
23,10,10,1:41.635,101.635,68.891
23,11,23,1:41.481,101.481,69.652
23,12,26,1:40.962,100.962,71.126
23,13,55,1:40.222,100.222,72.712
23,14,4,1:40.177,100.177,75.748
23,15,27,1:40.047,100.047,80.966
23,16,63,1:42.217,102.217,84.607
23,17,3,1:41.657,101.657,85.765
23,18,99,1:41.438,101.438,88.026
23,19,7,1:41.237,101.237,92.541
24,1,5,1:38.776,98.776,
24,2,44,1:38.361,98.361,5.858
24,3,88,1:42.713,102.713,1 LAP
24,4,77,1:38.453,98.453,18.051
24,5,16,1:37.705,97.705,27.116
24,6,33,1:39.355,99.355,40.470
24,7,20,1:40.330,100.33,63.822
24,8,18,1:40.729,100.729,66.322
24,9,23,1:40.983,100.983,71.859
24,10,26,1:41.395,101.395,73.745
24,11,10,1:45.036,105.036,75.151
24,12,55,1:41.680,101.68,75.616
24,13,4,1:40.602,100.602,77.574
24,14,11,2:01.343,121.343,79.536
24,15,27,1:40.643,100.643,82.833
24,16,63,1:42.263,102.263,88.094
24,17,99,1:41.571,101.571,90.821
24,18,7,1:40.808,100.808,94.573
24,19,3,1:48.205,108.205,PIT
25,1,5,1:39.047,99.047,
25,2,44,1:38.263,98.263,5.074
25,3,88,1:42.327,102.327,1 LAP
25,4,77,1:38.458,98.458,17.462
25,5,16,1:37.354,97.354,25.423
25,6,33,1:39.731,99.731,41.154
25,7,20,1:40.151,100.151,64.926
25,8,18,1:40.388,100.388,67.663
25,9,23,1:40.262,100.262,73.074
25,10,26,1:40.800,100.8,75.498
25,11,55,1:40.158,100.158,76.727
25,12,10,1:42.307,102.307,78.411
25,13,4,1:40.768,100.768,79.295
25,14,11,1:40.264,100.264,80.753
25,15,27,1:40.357,100.357,84.143
25,16,63,1:41.965,101.965,91.012
25,17,99,1:41.581,101.581,93.355
25,18,7,1:40.849,100.849,96.375
26,1,44,1:38.377,98.377,
26,2,5,1:43.909,103.909,PIT
26,3,77,1:38.875,98.875,12.886
26,4,88,1:43.940,103.94,1 LAP
26,5,16,1:37.321,97.321,19.293
26,6,33,1:39.519,99.519,37.222
26,7,20,1:40.358,100.358,61.833
26,8,18,1:40.088,100.088,64.300
26,9,23,1:39.942,99.942,69.565
26,10,26,1:40.583,100.583,72.630
26,11,55,1:40.313,100.313,73.589
26,12,4,1:42.779,102.779,78.623
26,13,11,1:42.034,102.034,79.336
26,14,27,1:40.622,100.622,81.314
26,15,10,1:46.921,106.921,PIT
26,16,63,1:41.836,101.836,89.397
26,17,99,1:41.248,101.248,91.152
26,18,7,1:41.118,101.118,94.042
27,1,44,1:38.410,98.41,
27,2,77,1:38.597,98.597,13.073
27,3,16,1:38.060,98.06,18.943
27,4,88,1:43.591,103.591,1 LAP
27,5,33,1:40.489,100.489,39.301
27,6,20,1:51.291,111.291,PIT
27,7,18,1:52.418,112.418,PIT
27,8,23,1:48.608,108.608,79.763
27,9,55,1:49.979,109.979,85.158
27,10,26,1:52.375,112.375,PIT
27,11,4,1:52.283,112.283,92.496
27,12,11,1:52.935,112.935,93.861
27,13,27,1:53.096,113.096,96.000
27,14,63,1:59.733,119.733,PIT
27,15,99,2:00.347,120.347,PIT
27,16,7,2:03.898,123.898,PIT
28,1,44,2:01.608,121.608,PIT
28,2,10,2:21.981,141.981,1 LAP
28,3,77,2:08.041,128.041,PIT
28,4,16,2:07.595,127.595,24.930
28,5,88,2:09.694,129.694,1 LAP
28,6,33,2:18.448,138.448,PIT
28,7,23,2:10.201,130.201,88.356
28,8,55,2:09.169,129.169,92.719
28,9,20,2:24.417,144.417,97.523
28,10,4,2:07.756,127.756,98.644
28,11,11,2:08.236,128.236,100.489
28,12,27,2:07.114,127.114,101.506
28,13,18,2:25.454,145.454,102.154
28,14,26,2:20.385,140.385,105.372
28,15,10,2:03.165,123.165,127.009
28,16,99,2:19.208,139.208,130.689
29,1,44,2:20.177,140.177,
29,2,7,2:23.935,143.935,1 LAP
29,3,16,1:59.454,119.454,4.207
29,4,88,2:03.543,123.543,PIT
29,5,77,2:17.592,137.592,16.921
29,6,33,2:24.682,144.682,60.646
29,7,23,2:10.932,130.932,PIT
29,8,55,2:10.899,130.899,83.441
29,9,20,2:12.754,132.754,90.100
29,10,4,2:12.535,132.535,91.002
29,11,11,2:13.583,133.583,93.895
29,12,18,2:13.934,133.934,95.911
29,13,27,2:15.390,135.39,PIT
29,14,26,2:17.932,137.932,PIT
29,15,10,2:15.488,135.488,122.320
29,16,99,2:15.960,135.96,126.472
30,1,44,2:37.304,157.304,
30,2,7,2:36.711,156.711,1 LAP
30,3,77,2:23.364,143.364,2.981
30,4,16,2:37.210,157.21,PIT
30,5,33,2:16.176,136.176,39.518
30,6,55,2:16.661,136.661,62.798
30,7,20,2:17.868,137.868,70.664
30,8,4,2:18.185,138.185,71.883
30,9,11,2:17.101,137.101,73.692
30,10,18,2:16.661,136.661,75.268
30,11,23,2:34.683,154.683,76.490
30,12,27,2:33.722,153.722,93.137
30,13,10,2:09.695,129.695,94.711
30,14,26,2:32.183,152.183,98.006
30,15,99,2:09.669,129.669,98.837
30,16,7,2:09.767,129.767,130.854
31,1,44,2:46.367,166.367,
31,2,77,2:44.230,164.23,0.844
31,3,16,2:44.087,164.087,1.833
31,4,33,2:10.438,130.438,3.589
31,5,55,1:49.105,109.105,5.536
31,6,20,1:42.910,102.91,7.207
31,7,4,1:47.749,107.749,13.265
31,8,11,1:49.073,109.073,16.398
31,9,18,1:49.384,109.384,18.285
31,10,23,1:49.590,109.59,19.713
31,11,27,1:47.578,107.578,34.348
31,12,10,1:50.483,110.483,38.827
31,13,26,1:48.494,108.494,40.133
31,14,99,1:49.837,109.837,42.307
31,15,7,1:43.349,103.349,67.836
32,1,44,2:50.449,170.449,
32,2,77,2:50.652,170.652,1.047
32,3,16,2:50.259,170.259,1.643
32,4,33,2:49.343,169.343,2.483
32,5,55,2:48.169,168.169,3.256
32,6,20,2:47.095,167.095,3.853
32,7,4,2:41.648,161.648,4.464
32,8,11,2:39.282,159.282,5.231
32,9,23,2:36.375,156.375,5.639
32,10,18,2:38.241,158.241,6.077
32,11,27,2:22.475,142.475,6.374
32,12,10,2:18.393,138.393,6.771
32,13,26,2:17.605,137.605,7.289
32,14,99,2:16.041,136.041,7.899
32,15,7,1:50.872,110.872,8.259
33,1,44,1:37.638,97.638,
33,2,77,1:38.110,98.11,1.519
33,3,16,1:38.232,98.232,2.237
33,4,33,1:38.852,98.852,3.697
33,5,55,1:40.228,100.228,5.846
33,6,20,1:40.586,100.586,6.801
33,7,4,1:40.969,100.969,7.795
33,8,23,1:40.408,100.408,8.409
33,9,11,1:41.888,101.888,9.481
33,10,18,1:41.862,101.862,10.301
33,11,27,1:42.231,102.231,10.967
33,12,10,1:42.702,102.702,11.835
33,13,26,1:42.634,102.634,12.285
33,14,7,1:42.567,102.567,13.188
33,15,99,1:44.576,104.576,14.837
34,1,44,1:37.674,97.674,
34,2,77,1:37.695,97.695,1.540
34,3,16,1:37.810,97.81,2.373
34,4,33,1:38.255,98.255,4.278
34,5,55,1:39.559,99.559,7.731
34,6,20,1:39.805,99.805,8.932
34,7,4,1:40.161,100.161,10.282
34,8,23,1:40.214,100.214,10.949
34,9,11,1:40.171,100.171,11.978
34,10,18,1:40.197,100.197,12.824
34,11,27,1:40.606,100.606,13.899
34,12,10,1:40.920,100.92,15.081
34,13,26,1:41.427,101.427,16.038
34,14,7,1:41.442,101.442,16.956
34,15,99,1:41.402,101.402,18.565
35,1,44,1:37.150,97.15,
35,2,77,1:37.655,97.655,2.045
35,3,16,1:37.696,97.696,2.919
35,4,33,1:37.599,97.599,4.727
35,5,55,1:39.263,99.263,9.844
35,6,20,1:39.705,99.705,11.487
35,7,23,1:40.505,100.505,14.304
35,8,11,1:40.778,100.778,15.606
35,9,4,1:43.494,103.494,16.626
35,10,18,1:41.677,101.677,17.351
35,11,27,1:41.145,101.145,17.894
35,12,10,1:40.619,100.619,18.550
35,13,26,1:40.130,100.13,19.018
35,14,7,1:40.020,100.02,19.826
35,15,99,1:40.145,100.145,21.560
36,1,44,1:37.118,97.118,
36,2,77,1:37.304,97.304,2.231
36,3,16,1:37.740,97.74,3.541
36,4,33,1:37.888,97.888,5.497
36,5,55,1:39.309,99.309,12.035
36,6,20,1:39.312,99.312,13.681
36,7,23,1:39.167,99.167,16.353
36,8,11,1:39.773,99.773,18.261
36,9,4,1:40.014,100.014,19.522
36,10,18,1:40.329,100.329,20.562
36,11,27,1:40.208,100.208,20.984
36,12,26,1:40.866,100.866,22.766
36,13,10,1:41.955,101.955,23.387
36,14,7,1:41.569,101.569,24.277
36,15,99,1:40.969,100.969,25.411
37,1,44,1:36.639,96.639,
37,2,77,1:37.533,97.533,3.125
37,3,16,1:37.553,97.553,4.455
37,4,33,1:37.630,97.63,6.488
37,5,55,1:39.299,99.299,14.695
37,6,20,1:39.234,99.234,16.276
37,7,23,1:39.052,99.052,18.766
37,8,11,1:39.237,99.237,20.859
37,9,4,1:39.865,99.865,22.748
37,10,27,1:39.266,99.266,23.611
37,11,18,1:40.927,100.927,24.850
37,12,26,1:40.569,100.569,26.696
37,13,7,1:39.884,99.884,27.522
37,14,10,1:41.981,101.981,28.729
37,15,99,1:41.277,101.277,30.049
38,1,44,1:37.342,97.342,
38,2,77,1:37.407,97.407,3.190
38,3,16,1:37.189,97.189,4.302
38,4,33,1:37.573,97.573,6.719
38,5,55,1:39.324,99.324,16.677
38,6,20,1:39.308,99.308,18.242
38,7,23,1:38.716,98.716,20.140
38,8,11,1:39.162,99.162,22.679
38,9,4,1:39.564,99.564,24.970
38,10,27,1:39.810,99.81,26.079
38,11,18,1:39.648,99.648,27.156
38,12,26,1:39.763,99.763,29.117
38,13,7,1:39.848,99.848,30.028
38,14,10,1:40.182,100.182,31.569
38,15,99,1:40.615,100.615,33.322
39,1,44,1:37.050,97.05,
39,2,77,1:37.324,97.324,3.464
39,3,16,1:37.197,97.197,4.449
39,4,33,1:37.547,97.547,7.216
39,5,55,1:39.089,99.089,18.716
39,6,20,1:39.006,99.006,20.198
39,7,23,1:38.354,98.354,21.444
39,8,11,1:38.951,98.951,24.580
39,9,4,1:39.590,99.59,27.510
39,10,27,1:39.303,99.303,28.332
39,11,18,1:39.512,99.512,29.618
39,12,26,1:39.803,99.803,31.870
39,13,7,1:39.757,99.757,32.735
39,14,10,1:39.867,99.867,34.386
39,15,99,1:40.323,100.323,36.595
40,1,44,1:37.047,97.047,
40,2,77,1:37.344,97.344,3.761
40,3,16,1:37.331,97.331,4.733
40,4,33,1:37.620,97.62,7.789
40,5,55,1:38.959,98.959,20.628
40,6,20,1:39.313,99.313,22.464
40,7,23,1:38.694,98.694,23.091
40,8,11,1:38.744,98.744,26.277
40,9,4,1:39.706,99.706,30.169
40,10,27,1:39.732,99.732,31.017
40,11,18,1:39.510,99.51,32.081
40,12,26,1:40.223,100.223,35.046
