lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,44,1:40.299,100.299,
1,2,77,1:42.194,102.194,1.895
1,3,7,1:44.552,104.552,4.253
1,4,33,1:45.105,105.105,4.806
1,5,27,1:47.355,107.355,7.056
1,6,16,1:48.183,108.183,7.884
1,7,8,1:50.199,110.199,9.900
1,8,10,1:51.390,111.39,11.091
1,9,55,1:52.114,112.114,11.815
1,10,20,1:52.305,112.305,12.006
1,11,11,1:52.843,112.843,12.544
1,12,99,1:53.253,113.253,12.954
1,13,3,1:53.731,113.731,13.432
1,14,5,1:54.607,114.607,14.308
1,15,18,1:55.400,115.4,15.101
1,16,23,1:56.302,116.302,16.003
1,17,26,1:56.872,116.872,16.573
1,18,63,1:57.600,117.6,17.301
1,19,4,1:57.831,117.831,17.532
1,20,88,1:59.108,119.108,18.809
2,1,44,1:34.720,94.72,
2,2,77,1:36.275,96.275,3.450
2,3,33,1:35.883,95.883,5.969
2,4,7,1:38.472,98.472,8.005
2,5,27,1:37.771,97.771,10.107
2,6,16,1:39.747,99.747,12.911
2,7,8,1:43.147,103.147,18.327
2,8,10,1:44.193,104.193,20.564
2,9,55,1:46.637,106.637,23.732
2,10,20,1:47.111,107.111,24.397
2,11,99,1:47.402,107.402,25.636
2,12,5,1:47.381,107.381,PIT
2,13,3,1:49.178,109.178,27.890
2,14,18,1:48.661,108.661,29.042
2,15,23,1:48.695,108.695,PIT
2,16,26,1:48.431,108.431,30.284
2,17,4,1:48.279,108.279,31.091
2,18,63,1:50.416,110.416,32.997
2,19,88,1:50.396,110.396,34.485
3,1,44,2:01.968,121.968,PIT
3,2,77,2:05.182,125.182,PIT
3,3,33,2:03.343,123.343,PIT
3,4,7,2:03.694,123.694,PIT
3,5,27,2:03.115,123.115,PIT
3,6,16,2:01.369,121.369,PIT
3,7,8,2:01.462,121.462,PIT
3,8,20,1:56.586,116.586,19.015
3,9,10,2:01.615,121.615,PIT
3,10,55,1:59.561,119.561,PIT
3,11,18,1:56.972,116.972,24.046
3,12,99,2:00.644,120.644,PIT
3,13,3,2:00.256,120.256,PIT
3,14,4,1:58.420,118.42,27.543
3,15,63,1:57.115,117.115,28.144
3,16,26,2:00.438,120.438,PIT
3,17,88,1:57.196,117.196,29.713
3,18,5,2:11.854,131.854,36.855
3,19,23,2:11.069,131.069,39.079
4,1,44,2:27.023,147.023,
4,2,20,2:09.203,129.203,1.195
4,3,77,2:22.044,142.044,1.685
4,4,33,2:22.095,142.095,2.416
4,5,18,2:06.591,126.591,3.614
4,6,16,2:18.822,138.822,4.111
4,7,27,2:20.302,140.302,4.533
4,8,4,2:05.492,125.492,6.012
4,9,63,2:05.436,125.436,6.557
4,10,88,2:04.527,124.527,7.217
4,11,7,2:24.794,144.794,7.502
4,12,5,1:58.171,118.171,8.003
4,13,55,2:14.131,134.131,8.433
4,14,23,1:57.505,117.505,9.561
4,15,8,2:19.203,139.203,10.001
4,16,99,2:13.887,133.887,11.176
4,17,3,2:12.913,132.913,12.068
4,18,10,2:19.647,139.647,12.835
4,19,26,2:11.955,131.955,13.686
5,1,44,1:33.431,93.431,
5,2,77,1:33.076,93.076,1.330
5,3,33,1:33.888,93.888,2.873
5,4,20,1:38.574,98.574,6.338
5,5,16,1:35.818,95.818,6.498
5,6,27,1:36.197,96.197,7.299
5,7,18,1:39.801,99.801,9.984
5,8,7,1:37.708,97.708,11.779
5,9,4,1:39.497,99.497,12.078
5,10,5,1:38.210,98.21,12.782
5,11,55,1:38.957,98.957,13.959
5,12,63,1:42.779,102.779,15.905
5,13,23,1:40.468,100.468,16.598
5,14,88,1:44.138,104.138,17.924
5,15,8,1:41.516,101.516,18.086
5,16,99,1:40.767,100.767,18.512
5,17,3,1:40.119,100.119,18.756
5,18,10,1:39.816,99.816,19.220
5,19,26,1:39.479,99.479,19.734
6,1,44,1:30.853,90.853,
6,2,77,1:31.001,91.001,1.478
6,3,33,1:31.181,91.181,3.201
6,4,16,1:32.985,92.985,8.630
6,5,27,1:33.947,93.947,10.393
6,6,20,1:38.274,98.274,13.759
6,7,7,1:33.341,93.341,14.267
6,8,5,1:34.977,94.977,16.906
6,9,18,1:39.437,99.437,18.568
6,10,55,1:35.640,95.64,18.746
6,11,23,1:35.576,95.576,21.321
6,12,99,1:36.315,96.315,23.974
6,13,4,1:44.246,104.246,PIT
6,14,63,1:41.173,101.173,26.225
6,15,8,1:39.226,99.226,26.459
6,16,3,1:39.209,99.209,27.112
6,17,88,1:42.037,102.037,29.108
6,18,26,1:40.363,100.363,29.244
6,19,10,1:41.186,101.186,29.553
7,1,44,1:30.025,90.025,
7,2,77,1:30.725,90.725,2.178
7,3,33,1:30.413,90.413,3.589
7,4,16,1:31.097,91.097,9.702
7,5,27,1:32.020,92.02,12.388
7,6,20,1:37.792,97.792,21.526
7,7,7,1:37.600,97.6,21.842
7,8,5,1:35.021,95.021,21.902
7,9,55,1:35.035,95.035,23.756
7,10,23,1:36.215,96.215,27.511
7,11,99,1:34.333,94.333,28.282
7,12,8,1:34.987,94.987,31.421
7,13,18,1:43.741,103.741,PIT
7,14,3,1:35.999,95.999,33.086
7,15,26,1:36.071,96.071,35.290
7,16,10,1:37.203,97.203,36.731
7,17,63,1:45.319,105.319,PIT
7,18,4,1:48.908,108.908,44.354
7,19,88,1:46.750,106.75,PIT
8,1,44,1:29.688,89.688,
