lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,44,1:42.031,102.031,
1,2,77,1:43.115,103.115,1.084
1,3,16,1:44.454,104.454,2.423
1,4,33,1:45.972,105.972,3.941
1,5,55,1:47.047,107.047,5.016
1,6,4,1:47.938,107.938,5.907
1,7,5,1:48.264,108.264,6.233
1,8,10,1:49.061,109.061,7.030
1,9,99,1:49.520,109.52,7.489
1,10,3,1:49.964,109.964,7.933
1,11,7,1:50.410,110.41,8.379
1,12,27,1:51.038,111.038,9.007
1,13,11,1:51.657,111.657,9.626
1,14,20,1:52.736,112.736,10.705
1,15,18,1:53.205,113.205,11.174
1,16,23,1:53.571,113.571,11.540
1,17,88,1:54.848,114.848,12.817
1,18,8,1:55.366,115.366,13.335
1,19,63,1:56.082,116.082,14.051
1,20,26,1:56.674,116.674,14.643
2,1,44,1:37.432,97.432,
2,2,77,1:37.718,97.718,1.370
2,3,16,1:37.472,97.472,2.463
2,4,33,1:37.252,97.252,3.761
2,5,55,1:38.970,98.97,6.554
2,6,4,1:39.175,99.175,7.650
2,7,5,1:39.354,99.354,8.155
2,8,10,1:39.382,99.382,8.980
2,9,99,1:39.841,99.841,9.898
2,10,3,1:39.847,99.847,10.348
2,11,7,1:39.970,99.97,10.917
2,12,27,1:40.125,100.125,11.700
2,13,11,1:40.182,100.182,12.376
2,14,20,1:39.948,99.948,13.221
2,15,18,1:40.067,100.067,13.809
2,16,23,1:40.230,100.23,14.338
2,17,88,1:41.487,101.487,16.872
2,18,8,1:41.404,101.404,17.307
2,19,63,1:41.489,101.489,18.108
2,20,26,1:41.302,101.302,18.513
3,1,44,1:36.751,96.751,
3,2,77,1:36.974,96.974,1.593
3,3,16,1:37.107,97.107,2.819
3,4,33,1:37.465,97.465,4.475
3,5,55,1:38.427,98.427,8.230
3,6,4,1:38.801,98.801,9.700
3,7,5,1:38.750,98.75,10.154
3,8,10,1:38.866,98.866,11.095
3,9,99,1:38.812,98.812,11.959
3,10,3,1:38.934,98.934,12.531
3,11,7,1:38.835,98.835,13.001
3,12,27,1:39.026,99.026,13.975
3,13,11,1:39.203,99.203,14.828
3,14,20,1:39.122,99.122,15.592
3,15,18,1:39.447,99.447,16.505
3,16,23,1:39.436,99.436,17.023
3,17,8,1:39.451,99.451,20.007
3,18,88,1:41.806,101.806,21.927
3,19,26,1:40.362,100.362,22.124
3,20,63,1:41.658,101.658,23.015
4,1,44,1:36.290,96.29,
4,2,77,1:36.363,96.363,1.666
4,3,16,1:36.941,96.941,3.470
4,4,33,1:37.105,97.105,5.290
4,5,55,1:38.021,98.021,9.961
4,6,4,1:38.126,98.126,11.536
4,7,5,1:38.247,98.247,12.111
4,8,10,1:38.601,98.601,13.406
